zarobki_min,zarobki_max,nazwa,miasto,zdalnie,Unnamed: 0,zarobki
Brak danych,Brak danych,Junior PHP/JS Developer - Tech Support,Warszawa,Nie,,
Brak danych,Brak danych,Płatny staż programistyczny,Kraków,Nie,,
Brak danych,Brak danych,"Support Team Leader (Incident, Problem, Change Mgmt)",Kraków,Nie,,
Brak danych,Brak danych,Java Developer,Warszawa,Nie,,
20000,28000,Senior Node.js Developer,Nie podano,Tak,,
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak,,
Brak danych,Brak danych,IT Internship Java,Kraków,Nie,,
Brak danych,Brak danych,"IT System Administrator (DevOps, Oracle, RedHat)",Wrocław,Nie,,
Brak danych,Brak danych,Technical Support Engineer,Warszawa,Nie,,
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak,,
10000,14000,Test Automation Engineer II - Signing bonus Eligible,Nie podano,Tak,,
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie,,
Brak danych,Brak danych,C# (ASP.NET) Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior C#/.NET Software Developer,Nie podano,Tak,,
Brak danych,Brak danych,Frontend Developer with React,Nie podano,Nie,,
10000,14000,Java Software Engineer II - Signing Bonus Eligible,Nie podano,Tak,,
Brak danych,Brak danych,.NET Developer,Nie podano,Tak,,
Brak danych,Brak danych,Support Analyst for Google Ad Manager with German,Kraków,Nie,,
10460,20160,Ruby Developer,Nie podano,Tak,,
Brak danych,Brak danych,PHP Developer,Nie podano,Tak,,
Brak danych,Brak danych,Frontend Developer,Warszawa,Tak,,
13000,15000,React Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior Test Engineer,Gdańsk,Tak,,
Brak danych,Brak danych,Senior Software Engineer,Gdańsk,Nie,,
Brak danych,Brak danych,Full Stack Engineer (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,Inżynier Wsparcia Usług Mobilnych,Warszawa,Tak,,
8000,28056,React Frontend Developer,Gdańsk,Tak,,
Brak danych,Brak danych,Software Developer (Ruby / Java),Kraków,Tak,,
Brak danych,Brak danych,Expert DevOps,Nie podano,Tak,,
Brak danych,Brak danych,Junior Java Developer,Wrocław,Nie,,
Brak danych,Brak danych,Test Engineer,Gdańsk,Nie,,
Brak danych,Brak danych,Junior Java Developer willing to learn Lua,Warszawa,Nie,,
8000,21000,Java/Kotlin Developer,Gdańsk,Tak,,
Brak danych,Brak danych,Data analyst,Nie podano,Nie,,
Brak danych,Brak danych,Data Engineer,Nie podano,Nie,,
Brak danych,Brak danych,Senior Natural Language Processing Engineer in Artificial Intelligence Team,Warszawa,Nie,,
Brak danych,Brak danych,Tester,Nie podano,Tak,,
80,120godz,Trener Programowania dla dzieci i młodzieży,Nie podano,Nie,,
Brak danych,Brak danych,Java Developer,Warszawa,Tak,,
10000,14000,Full Stack Developer LAMP - PHP - Vue.js,Nie podano,Tak,,
9000,15000,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie,,
Brak danych,Brak danych,Senior Developer DB/Java,Wrocław,Tak,,
22000,22000,Front-End developer JS / Angular,Wrocław,Tak,,
Brak danych,Brak danych,Technology Platform Product Manager (Wealth & Personal Banking IT),Kraków,Nie,,
Brak danych,Brak danych,UNIX/LINUX Specialist (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,ITID Technical Lead (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,Automation Engineer (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,Junior Java Developer,Nie podano,Tak,,
Brak danych,Brak danych,Spatial AI Developer in Artificial Intelligence Team,Warszawa,Nie,,
Brak danych,Brak danych,Test Automation Engineer,Kraków,Nie,,
Brak danych,Brak danych,Websphere Administrator (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,.NET Developer,Warszawa,Nie,,
Brak danych,Brak danych,(Investment Banking Tech) Equity Derivatives Structured Products Specialist,Kraków,Nie,,
22000,27000,Technical Lead with Java,Kraków,Tak,,
Brak danych,Brak danych,"Software Developer - Java, Spring",Gdańsk,Nie,,
18000,22000,Java Software Developer,Kraków,Tak,,
15000,17000,Business Analyst with BI/Tableau,Kraków,Tak,,
Brak danych,Brak danych,SaaS Bus Platform ServiceNow Developer,Nie podano,Tak,,
15000,20000,Team Lead / Scrum Master with technical background,Kraków,Tak,,
12000,17000,Senior Angular Developer,Wrocław,Tak,,
Brak danych,Brak danych,Frontend Developer,Nie podano,Tak,,
Brak danych,Brak danych,Junior Salesforce Consultant,Nie podano,Tak,,
Brak danych,Brak danych,Junior Java/Salesforce Developer,Nie podano,Tak,,
