,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,Senior JavaScript Developer,Nie podano,Tak,18 500,25 000
1,Junior JavaScript Developer,Nie podano,Tak,9 500,12 500
2,Senior React Developer,Nie podano,Tak,23 500,30 200
3,Junior JavaScript Developer,"Katowice, Łódź",Tak,9 500,12 500
4,Junior JavaScript Developer,"Katowice, Łódź",Tak,9 500,12 500
5,Fullstack Developer,Nie podano,Tak,13 000,17 700
6,Programista Front-End,"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Nie,Brak danych,Brak danych
7,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,23 500,30 200
8,React developer,Nie podano,Tak,Brak danych,Brak danych
9,Programista Front-End,"Gdańsk, Katowice, Kielce, Kraków, Warszawa",Tak,Brak danych,Brak danych
10,Frontend React Developer,Nie podano,Tak,14 000,17 000
11,Senior JavaScript Developer (Angular),Nie podano,Tak,Brak danych,Brak danych
12,Regular JavaScript Engineer,Nie podano,Tak,Brak danych,Brak danych
13,Senior JavaScript Engineer,Nie podano,Tak,Brak danych,Brak danych
14,Fullstack Engineer (JavaScript + React) - Envysion,Nie podano,Tak,Brak danych,Brak danych
15,Front-end Developer Vue.js,Nie podano,Tak,10 000,19 500
16,React Senior Developer,Nie podano,Tak,14 000,24 000
17,Programista Front-End,"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,Brak danych,Brak danych
18,Senior Vue.js Developer,Nie podano,Tak,15 300,23 500
19,Programista front-end,Nie podano,Tak,8 500,16 000
20,Front-end Developer,Nie podano,Tak,Brak danych,Brak danych
21,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,23 500,30 200
22,Frontend Developer,Nie podano,Tak,13 600,16 100
23,Senior Frontend Developer,Nie podano,Tak,19 700,23 700
24,Junior JavaScript Developer,"Kraków, Warszawa",Tak,9 500,12 500
25,Senior SRE Developer,Nie podano,Tak,19 700,23 700
26,Senior Fullstack JavaScript Developer,Nie podano,Tak,19 700,23 700
27,Angular Developer (Avaloq),Nie podano,Tak,Brak danych,Brak danych
28,Senior React Developer,"Katowice, Kielce, Kraków",Tak,23 500,30 200
29,R&D Frontend QA Specialist,Nie podano,Tak,11 000,17 000
30,R&D Frontend React Developer,Nie podano,Tak,11 000,17 000
31,Frontend React Developer,Nie podano,Tak,8 000,14 000
32,Frontend React Developer,Nie podano,Tak,14 000,17 000
33,Senior Node.js Developer,Nie podano,Tak,12 000,23 000
34,WordPress Developer (part-time or 3mths full-time),Nie podano,Tak,Brak danych,Brak danych
35,Frontend Engineer,Nie podano,Tak,15 000,22 000
36,Front-end Developer (Angular),Nie podano,Tak,18 000,27 000
37,Full-Stack Developer,Nie podano,Tak,5 000,9 500
38,Front-End Tech Lead,"Łódź, Lublin, Poznań, Warszawa",Tak,Brak danych,Brak danych
39,Junior JavaScript Developer,"Gdańsk, Warszawa",Tak,9 500,12 500
40,Senior Frontend React/TypeScript Developer,Nie podano,Tak,9 000,15 000
41,Frontend React Developer,Nie podano,Tak,12 000,18 000
42,Front-End Developer (fully remote),Nie podano,Tak,9 000,15 000
43,Frontend JavaScript Developer,Nie podano,Tak,9 000,15 000
44,Senior Frontend/UI JavaScript Developer,Nie podano,Tak,14 000,18 000
45,Frontend JavaScript Developer (React),Nie podano,Tak,8 000,14 000
46,Node.js Developer,Nie podano,Tak,10 000,18 000
47,Senior React Developer,"Katowice, Kielce, Krakow",Tak,23 500,30 200
48,Senior React Developer,"Katowice, Kielce, Krakow",Tak,23 500,30 200
49,React Developer (Regular/Senior),Nie podano,Tak,3 200,6 200
50,Frontend Developer (Angular),Nie podano,Tak,Brak danych,Brak danych
51,Frontend React Developer,Nie podano,Tak,Brak danych,Brak danych
52,Frontend JavaScript Developer,Nie podano,Tak,10 000,17 000
53,Senior React Developer,"Katowice, Krakow, Rzeszów",Tak,23 500,30 200
54,Frontend React Developer,Nie podano,Tak,13 000,17 000
55,Frontend Developer (Angular),Nie podano,Tak,18 000,26 000
56,Senior Front-End Developer (Angular),Nie podano,Nie,Brak danych,Brak danych
57,Angular Developer,Nie podano,Tak,Brak danych,Brak danych
58,Front-End Developer,Nie podano,Nie,Brak danych,Brak danych
59,Frontend Developer,Nie podano,Tak,10 000,17 000
60,Asseco Starter - Programista Front-end,Nie podano,Tak,Brak danych,Brak danych
61,Asseco Starter - Programista Front-end,Nie podano,Tak,Brak danych,Brak danych
62,Frontend React Developer,Nie podano,Tak,12 000,17 000
63,Programista Front-End,"Gdańsk, Katowice, Kraków, Lublin, Warszawa",Tak,Brak danych,Brak danych
64,Senior React Software Developer,Nie podano,Tak,Brak danych,Brak danych
65,Junior IT Specialist,Nie podano,Nie,Brak danych,Brak danych
