,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,WordPress Developer Specialist,Nie podano,Tak,7 500,9 500
1,Laravel FullStack Developer,"Kraków, Warszawa",Tak,8 500,19 000
2,Laravel FullStack Developer,"Kraków, Warszawa",Tak,8 500,19 000
3,Laravel FullStack Developer,"Kraków, Warszawa",Tak,8 500,19 000
4,Laravel FullStack Developer,"Warszawa, Wrocław",Tak,8 500,19 000
5,FullStack PHP Developer,Nie podano,Tak,Brak danych,Brak danych
6,PHP Developer_ka,Nie podano,Tak,8 300,14 000
7,Adobe Commerce Developer,Nie podano,Tak,Brak danych,Brak danych
8,PHP Developer,"Gdańsk, Lublin, Szczecin, Warszawa",Tak,8 500,18 000
9,Magento Developer – e-commerce sector,"Białystok, Bydgoszcz, Gdańsk, Katowice, Kraków, Łódź, Lublin, Poznań, Warszawa, Wrocław",Tak,Brak danych,Brak danych
10,Programista PHP / DevOps,Nie podano,Nie,Brak danych,Brak danych
11,Laravel FullStack Developer,"Katowice, Łódź",Tak,8 500,19 000
12,Laravel FullStack Developer,"Katowice, Łódź",Tak,8 500,19 000
13,Laravel FullStack Developer,"Katowice, Łódź",Tak,8 500,19 000
14,Backend PHP Developer,Nie podano,Tak,8 000,10 000
15,PHP Developer,Nie podano,Tak,16 000,26 000
16,Programista PHP/Laravel,Nie podano,Tak,8 500,16 000
17,PHP Developer,Nie podano,Tak,12 000,24 000
18,Magento Backend Developer,Nie podano,Tak,9 900,16 000
19,Senior Magento Backend Developer,Nie podano,Tak,14 100,21 000
20,Remote Senior PHP Developer,Nie podano,Tak,20 000,25 000
21,PHP Developer,Nie podano,Tak,7 000,14 000
22,PHP Developer,Nie podano,Tak,,
23,PHP Developer,Nie podano,Tak,7 000,15 200
24,Junior PHP Developer,Nie podano,Tak,3 700,8 000
25,PHP Developer,"Kraków, Łódź, Lublin, Wrocław",Tak,8 500,18 000
26,PHP Developer,Nie podano,Tak,8 000,17 000
27,PHP Developer,"Katowice, Kraków, Łódź, Warszawa, Wrocław",Tak,12 000,26 000
28,PHP Developer,Nie podano,Tak,Brak danych,Brak danych
29,Tech Lead Magento Backend Developer,Nie podano,Tak,16 700,25 000
30,PHP Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Poznań, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
31,Remote PHP Backend Developer (mid/senior),Nie podano,Tak,12 000,20 000
32,Laravel FullStack Developer,"Sztokholm, Wrocław",Tak,8 500,19 000
33,Laravel FullStack Developer,"Sztokholm, Wrocław",Tak,8 500,19 000
