nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Specjalista w obszarze Analizy Danych,Katowice,Nie,Brak danych,Brak danych
Technical Analyst,Warszawa,Nie,Brak danych,Brak danych
Power BI Developer,Warszawa,Tak,15 500,20 100
Senior Web Analyst,Warszawa,Tak,17 000,23 000
IT Analyst,Kraków,Nie,10 000,17 000
Senior Business System Analyst,Warszawa,Tak,18 000,24 000
Business Analyst (Product; Remote),"Wrocław, +2 locations",Tak,11 000,15 500
RPA Developer,"Łódź, +2 locations",Tak,8 000,15 000
IT Business Analyst,Warszawa,Nie,10 000,20 000
Business Analyst,Gdańsk,Tak,12 000,17 000
Analityk Biznesowy IT,Warszawa,Nie,7 200,12 000
Lead IT Business Analyst,Siechnice,Nie,14 000,18 000
Voicebot Designer/Analyst,Warsaw,Tak,5 000,8 000
ANALITYK SYSTEMOWY/ANALITYCZKA SYSTEMOWA,"Gdańsk, +4 locations",Tak,Brak danych,Brak danych
Analityk IT,Warszawa,Nie,Brak danych,Brak danych
Marketing Campaign Analyst,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
Mid/Senior Analityk Systemowo-Biznesowy,Wrocław,Tak,15 120,21 840
Business Analyst (with German & English),Warszawa,Nie,Brak danych,Brak danych
IT Business Analyst,Kraków,Nie,Brak danych,Brak danych
Analityk Biznesowo-Systemowy,Poznań,Nie,Brak danych,Brak danych
Analityk IT,Warszawa,Tak,8 000,15 000
PowerBI Developer,Wrocław,Tak,18 500,23 500
Analityk Biznesowy,"Warszawa, +3 locations",Tak,16 800,21 000
Analityk systemów informatycznych,Katowice,Nie,Brak danych,Brak danych
Change Release Coordinator,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Analityk Systemów Biznesowych,Gdańsk,Nie,Brak danych,Brak danych
Analityk systemowy,Warszawa,Tak,20 000,23 500
Analityk Biznesowy,Wrocław,Tak,10 000,17 000
Business Analyst (CRM),"Limassol, +2 locations",Nie,Brak danych,Brak danych
Analityk/czka Systemów Biznesowych,Warszawa,Nie,Brak danych,Brak danych
Analityk Biznesowy,Kraków,Tak,9 000,14 500
Staż biznesowy (finanse i bankowość),Kraków,Nie,Brak danych,Brak danych
Analityk systemowy [R&D],Bydgoszcz,Nie,Brak danych,Brak danych
ProcessMaker Expert,Katowice,Tak,13 000,20 000
Lider Zespołu IT,Gdańsk,Nie,Brak danych,Brak danych
Analityk Biznesowo-Systemowy IT,Gdańsk,Nie,Brak danych,Brak danych
IT Governance Specialist,"Poznań, +8 locations",Nie,Brak danych,Brak danych
Analityk Biznesowy e-commerce,"Wrocław, +2 locations",Nie,10 000,16 000
IT System Analyst,Warszawa,Tak,20 160,23 520
AI Analytics Visualization Expert,Warszawa,Nie,Brak danych,Brak danych
Analityk Biznesowy,"Warszawa, +5 locations",Tak,8 000,14 000
IT Business Analyst,"Warszawa, +1 location",Nie,Brak danych,Brak danych
Analityk Systemowy,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,Warsaw,Nie,19 320,21 000
System Analyst,Gdańsk,Nie,Brak danych,Brak danych
Data Analytics Expert/Manager,"Warszawa, +2 locations",Tak,24 000,30 000
Junior Business Intelligence Analyst,Warsaw,Tak,Brak danych,Brak danych
"Analityk Biznesowy - Data, Social Media & Marketing","Warszawa, +1 location",Tak,Brak danych,Brak danych
Analityk/czka Biznesowy/a,Warszawa,Nie,Brak danych,Brak danych
Junior Implementation Consultant,Poznań,Nie,5 500,9 000
Analityk biznesowo-systemowy,"Gdańsk, +2 locations",Nie,Brak danych,Brak danych
Frontend Developer (Tableau),"Warszawa, +1 location",Tak,Brak danych,Brak danych
Junior Business Analyst,Warszawa,Nie,Brak danych,Brak danych
Solution Analyst,Warszawa,Nie,14 000,16 000
Advanced Analytics Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Analityk kosztów IT,Poznań,Nie,Brak danych,Brak danych
Analityk Biznesowo-Systemowy,Warszawa,Tak,16 800,21 840
Marketing Analytics Developer,Poznań,Tak,9 000,11 000
Analytics Development Lead,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,"Gliwice, +2 locations",Tak,9 000,16 000
Analityk biznesowy (REMOTE),"Warszawa, +2 locations",Tak,16 000,21 000
Business Analyst,"Warszawa, +2 locations",Nie,10 000,16 000
Product Analyst,Warszawa,Tak,12 000,16 000
Analityk Systemowy,Poznań,Nie,4 500,7 000
Junior Business Analyst (University),Warszawa,Nie,6 000,6 500
Analityk Biznesowo-Systemowy IT,"Warszawa, +1 location",Nie,8 000,15 000
Business Analyst,Kraków,Nie,10 000,14 000
Product Analyst (MEX),"Warszawa, +1 location",Nie,Brak danych,Brak danych
Product Analyst SQL (Customer Analytics),"Warszawa, +1 location",Nie,Brak danych,Brak danych
Business Analyst,"Warszawa, +1 location",Tak,12 000,16 000
Network Security Business Analyst,Warszawa,Nie,18 000,19 000
Data Analyst,Warszawa,Nie,Brak danych,Brak danych
Junior Analityk Systemowy IT,Kraków,Nie,Brak danych,Brak danych
Quality Analyst for Service Desk,Kraków,Nie,Brak danych,Brak danych
Technical Business Analyst,Warszawa,Nie,10 000,20 000
⚙️ Senior IT System Analyst ⚙️,"Warszawa, +2 locations",Tak,18 000,25 000
Analityk Biznesowy IT,Warszawa,Tak,Brak danych,Brak danych
Senior Digital Analyst,"Warszawa, +2 locations",Tak,18 000,22 000
Business Analyst,Warszawa,Nie,Brak danych,Brak danych
Quality Analyst for Service Desk,Kraków,Nie,Brak danych,Brak danych
Technical Business Analyst,Warszawa,Nie,10 000,20 000
⚙️ Senior IT System Analyst ⚙️,"Warszawa, +2 locations",Tak,18 000,25 000
Analityk Biznesowy IT,Warszawa,Tak,Brak danych,Brak danych
