nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Enterprise Service Architect- Automation,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Architekt Rozwiązań IT,Warszawa,Nie,Brak danych,Brak danych
Architekt Infrastruktury  IT,Warszawa,Nie,Brak danych,Brak danych
Azure Architect,Warszawa,Nie,41 200,44 500
Architekt Systemów,"Warszawa, +16 locations",Tak,Brak danych,Brak danych
Senior Kubernetes Platform Engineer,"Warszawa, +10 locations",Tak,Brak danych,Brak danych
Senior Elixir Engineer,Kraków,Tak,20 640,23 280
Młodszy Architekt Systemów,"Warszawa, +16 locations",Tak,Brak danych,Brak danych
Software Architect (REMOTE),Warszawa,Tak,48 000,60 000
Software Java Dev./Architect,Warszawa,Tak,17 500,25 000
Architekt Migracji,Warszawa,Tak,24 360,29 904
System Architect - Backend,Gdańsk,Nie,Brak danych,Brak danych
System Architect - Frontend,Gdańsk,Nie,Brak danych,Brak danych
Data Architect,"Zielona Góra, +2 locations",Tak,20 000,25 000
CI/CD Architect,Wrocław,Tak,29 400,35 280
Programista Embedded C,Wrocław,Nie,Brak danych,Brak danych
Software/Domain Architect,Kraków,Nie,Brak danych,Brak danych
Cybersecurity Architect,Łódź,Nie,21 100,32 000
System Integration Architect,Warszawa,Nie,Brak danych,Brak danych
Client Landscape Architect,Bydgoszcz,Tak,Brak danych,Brak danych
Software Architect,Warszawa,Nie,12 000,20 000
Architekt rozwiązań IT,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
WordPress Developer,Poznań,Tak,4 000,5 300
Senior Solution Architect,Katowice,Tak,Brak danych,Brak danych
Front-end Architect,Kraków,Tak,Brak danych,Brak danych
Chief Architect,"Kraków, +2 locations",Nie,37 000,42 000
Technical Architect,"Katowice, +2 locations",Tak,Brak danych,Brak danych
Solution Architect,Kraków,Nie,Brak danych,Brak danych
Solutions Architect,"Wrocław, +2 locations",Tak,26 000,32 000
Frontend Angular Architect,Warszawa,Tak,17 000,26 000
Java Software Architect,Warszawa,Tak,16 000,25 000
Business Solutions IT Architect,Warszawa,Nie,Brak danych,Brak danych
Security Architect II,"Kraków, +6 locations",Tak,Brak danych,Brak danych
Architect Tech Lead (EMEA),Warszawa,Tak,Brak danych,Brak danych
Data Architect (DWH/ETL),Warszawa,Tak,16 000,20 000
Azure Architect (Mid/Senior),Kraków,Tak,25 200,33 600
"Architect, Specification Engineer","Wrocław, +18 locations",Tak,Brak danych,Brak danych
Architekt IT,Warszawa,Tak,20 000,30 000
🔥 Solution Architect 🔥,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Power Platform Architect,Warszawa,Tak,22 700,29 000
System Architect,Gdańsk,Nie,Brak danych,Brak danych
Solutions Architect,Wrocław,Tak,22 000,26 000
Java Technical Architect,"Gdańsk, +1 location",Tak,16 000,21 000
Solution Architect,Warszawa,Nie,Brak danych,Brak danych
Data Architect,"Gdańsk, +1 location",Tak,17 000,22 000
Solution Architect,Kraków,Tak,Brak danych,Brak danych
Flutter Developer,Barcelona,Nie,Brak danych,Brak danych
.NET Technical Architect,Gdańsk,Tak,23 200,28 800
Technical Architect (Java),Gdańsk,Tak,24 360,30 240
Architekt Korporacyjny,Warszawa,Nie,Brak danych,Brak danych
Software Architect,Kraków,Nie,Brak danych,Brak danych
Azure Architect,Kraków,Nie,Brak danych,Brak danych
Solution Consultant (Cyber Security),Kraków,Tak,Brak danych,Brak danych
Enterprise Solutions Architect,Warszawa,Tak,25 550,26 010
Presales Solution Architect (from EU),"Dubaj, +1 location",Nie,41 810,46 450
Tech Lead/Architect,"Lublin, +3 locations",Tak,17 000,22 000
Cloud Data Architect,Warszawa,Tak,26 000,32 000
"Lead Architect, Portals",Poznań,Tak,18 000,28 000
IoT Solution Architect,Poznań,Tak,Brak danych,Brak danych
Software Architect,"Poznań, +2 locations",Tak,Brak danych,Brak danych
Solution Architect,Warszawa,Nie,Brak danych,Brak danych
Software Architect,Warszawa,Tak,Brak danych,Brak danych
Data Solutions and Platform Architect,Kraków,Tak,29 000,34 000
Architekt rozwiązań,Warszawa,Tak,Brak danych,Brak danych
Azure/Cloud Security Architect,"Łódź, +2 locations",Tak,27 000,35 000
