nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Senior Software Developer C++ - FinTech,Kraków,Tak,20 000,22 000
Senior C++ Developer,"Poznań, +2 locations",Tak,15 000,27 000
Senior C++ Developer (IOT Project),Warszawa,Nie,Brak danych,Brak danych
C++ Developer,"Warszawa, +2 locations",Tak,21 840,26 880
Embedded Software Engineer,Zabierzów,Nie,Brak danych,Brak danych
Senior C++ Software Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Programista C++,Warszawa,Nie,Brak danych,Brak danych
Junior Software Engineer,Warszawa,Nie,5 000,8 500
C++ Developer(Mid/ Regular),"Kraków, +1 location",Tak,9 000,18 000
Junior Engineer - Distributed systems,Warszawa,Nie,5 000,8 500
Programista Embedded,Bielsko-Biała,Nie,8 000,14 000
Software Developer,Warszawa,Tak,16 000,25 000
C++ Developer (POS) (Junior),Kraków,Tak,5 000,8 000
HW Integration Engineer,"Wrocław, +18 locations",Nie,Brak danych,Brak danych
C++ Developer,"Warszawa, +2 locations",Tak,19 000,24 000
C++ Developer,Wrocław,Tak,18 000,24 000
Junior Software Engineer C/C++,Komorniki,Nie,5 500,8 500
Programista C/C++ Systemów Embedded(k/m),Zielonka,Nie,Brak danych,Brak danych
FullStack Xamarin Developer,"Łódź, +2 locations",Tak,15 000,20 000
Junior Developer C,Warszawa,Nie,5 000,9 000
Staż - Programista C,Warszawa,Nie,,
Programista C++,"Kraków, +4 locations",Tak,7 500,10 000
Młodszy konsultant,"Poznań, +3 locations",Nie,6 500,8 000
Junior Software Engineer,Warszawa,Nie,5 000,9 000
Embedded Software Developer (Junior),Poznań,Nie,5 000,8 000
Software Developer with C/C++ and Python,Wrocław,Tak,Brak danych,Brak danych
Junior Embedded C Developer,Gdańsk,Nie,5 000,7 000
Junior Embedded C Developer,Gdańsk,Nie,5 000,7 000
Junior Embedded Systems Developer,Gdańsk,Nie,5 000,9 000
Junior Embedded Systems Developer,Gdańsk,Nie,5 000,7 000
Junior Test Engineer,Kraków,Tak,Brak danych,Brak danych
Junior Software Developer,Kraków,Tak,Brak danych,Brak danych
Automotive Academy Trainee,Szczecin,Nie,Brak danych,Brak danych
Cloud Software Engineer,Kraków,Nie,Brak danych,Brak danych
Praktyki w zespole SDN - C++ Developer,Warszawa,Tak,,
Low level engineer (C++ / Rust / Go),"Berlin, +2 locations",Nie,30 660,34 840
Młodszy programista Enova,Warszawa,Tak,8 000,9 000
Tester Embedded C/C++,Katowice,Nie,23 500,25 200
Rust Software Engineer,Wrocław,Tak,12 000,24 000
Junior Software Engineer C,Warszawa,Tak,7 000,13 000
C++ Developer with Linux,"Warszawa, +4 locations",Tak,12 000,18 000
Senior Principal System Architect,Zabierzów,Nie,Brak danych,Brak danych
Programista C/C++,Katowice,Tak,22 000,23 500
C++ Computer Vision Engineer,"Wrocław, +2 locations",Tak,16 000,24 000
Senior Software Engineer,Łódź,Nie,16 700,26 600
C++ Engineer,"Wrocław, +2 locations",Tak,16 000,24 000
Autosar Security Specialist,Łódź,Nie,21 100,32 000
Firmware Engineer,Zabierzów,Nie,Brak danych,Brak danych
Senior C / Linux Developer,"Łódź, +2 locations",Tak,10 000,18 000
Senior C++ Computer Vision Developer,"Kraków, +2 locations",Tak,22 000,29 000
Autosar Developer,Łódź,Nie,10 000,17 300
Embedded Devices Developer,Warszawa,Nie,Brak danych,Brak danych
Junior Embedded C++ Developer,Łódź,Nie,5 300,8 000
Software Engineer,Gdynia,Nie,10 000,14 000
5G C/C++ Software Developer,Piaseczno,Nie,Brak danych,Brak danych
Software Engineer,Poznań,Nie,6 600,8 900
C++ developer,Poznań,Tak,15 600,24 266
C++ Developer,Poznań,Nie,6 600,8 900
C/C++ Security Software Developer,Warszawa,Nie,Brak danych,Brak danych
SDR Software Developer,Piaseczno,Nie,Brak danych,Brak danych
C++ Developer,Warszawa,Tak,15 000,18 480
C Developer,"Łódź, +2 locations",Tak,Brak danych,Brak danych
