nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Szkółka Data Management,Warszawa,Nie,2 500,3 200
Senior Data Analyst (Data Science Team),Gdańsk,Nie,Brak danych,Brak danych
Specjalista ds. Wdrożeń IT,Warszawa,Nie,6 800,10 800
Senior Data Analyst (Customer & Sales),Gdańsk,Nie,Brak danych,Brak danych
Data Engineer,Warszawa,Nie,15 000,21 000
Data Engineer,Gdańsk,Nie,Brak danych,Brak danych
Azure Data Engineer,Warszawa,Nie,25 000,32 000
Mid/Senior Data Engineer,Wrocław,Tak,19 000,30 500
Senior Data Scientist,Warszawa,Tak,30 240,33 600
Programista Hurtowni Danych,Wrocław,Nie,Brak danych,Brak danych
Data Engineer,Warszawa,Nie,Brak danych,Brak danych
Lead Data Engineer for Growth,Warszawa,Nie,Brak danych,Brak danych
Senior Data Engineer,"Warszawa, +2 locations",Tak,18 000,25 500
Database support specialist,"Warszawa, +2 locations",Tak,7 000,11 000
Data Engineer (Python +AWS),"Warszawa, +2 locations",Tak,10 000,15 000
Senior Software Engineer - Data,Gdańsk,Tak,Brak danych,Brak danych
Senior Data Engineer,Warszawa,Nie,28 560,33 600
Data Engineer (Python + SQL),"Warszawa, +2 locations",Tak,11 000,17 000
"Database Engineer, MySQL Engineering",Warszawa,Tak,13 000,25 000
Lead Data Scientist - Computer Vision,Poland,Tak,18 500,21 500
Senior Data Scientist - Computer Vision,Poland,Tak,16 000,18 500
Data Engineer,Kraków,Tak,18 000,26 000
Data Manager,Rzeszów,Tak,Brak danych,Brak danych
Junior Data Analyst,Gdańsk,Nie,Brak danych,Brak danych
Senior Scala Big Data Engineer,"Gdańsk, +2 locations",Tak,21 000,27 000
Specjalista Danych Biznesowych (BI),Warszawa,Nie,Brak danych,Brak danych
Software Consultant - BIOVIA,Kraków,Nie,9 000,15 000
Data Engineer,"Poznań, +6 locations",Tak,20 160,28 560
Data Scientist - Time Series,Poland,Tak,12 000,14 500
Data Engineer,Warszawa,Nie,18 000,20 000
BI Developer,Warszawa,Tak,Brak danych,Brak danych
Senior Data Scientist,"Warszawa, +2 locations",Nie,19 000,24 000
BI Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
PL/SQL Developer,Gdańsk,Nie,Brak danych,Brak danych
Senior Data Engineer,"Warszawa, +2 locations",Tak,35 140,46 120
Cloud Data/ETL Engineer,Warszawa,Tak,Brak danych,Brak danych
Data Engineer (Adobe Analytics),Warszawa,Tak,23 520,25 200
Senior Data Engineer,Gdańsk,Nie,16 000,24 000
Senior Data Scientist (Allegro Pay),Warszawa,Nie,Brak danych,Brak danych
Senior Data Scientist (A&PC),Warszawa,Tak,29 000,37 000
Senior Data Scientist,"Warszawa, +2 locations",Tak,18 480,28 560
Machine Learning Engineer,Warszawa,Nie,Brak danych,Brak danych
Business Applications Specialist,"Poznań, +1 location",Nie,Brak danych,Brak danych
BI Consultant/Engineer,Warszawa,Tak,14 000,23 000
Data Scientist z Computer Vision,Warszawa,Tak,8 500,13 500
Applied Intelligence SAS Specialist,Warsaw,Nie,Brak danych,Brak danych
Senior Data Scientist,Warszawa,Nie,Brak danych,Brak danych
Cloud Data Specialist,Warszawa,Nie,Brak danych,Brak danych
Data Engineer - Allegro Pay,Warszawa,Nie,12 500,17 000
Data Engineer - Advertising,Warszawa,Nie,Brak danych,Brak danych
Senior AI Risk Consultant,Warszawa,Nie,Brak danych,Brak danych
Senior Data Engineer-Remote in Poland,"Warsaw, +1 location",Tak,28 000,36 000
Junior BI Developer,Warszawa,Nie,7 500,11 000
Senior Data Scientist,"Kraków, +18 locations",Tak,23 500,33 600
Senior Data Engineer (Data Science Hub),Warszawa,Nie,16 500,22 500
Senior Data Engineer all levels,Warszawa,Nie,Brak danych,Brak danych
Data Engineer (Data Science Hub),"Poznań, +7 locations",Nie,12 500,17 000
Cloud Data Engineer,Warszawa,Tak,17 000,23 000
Senior/Principal Data Engineer,"Wrocław, +2 locations",Tak,22 000,35 000
Data Analyst,"Warszawa, +2 locations",Tak,16 800,26 880
Senior Marketing Data Scientist,Warsaw,Nie,Brak danych,Brak danych
MLOps Engineer,"Warszawa, +2 locations",Tak,20 160,30 240
Praktyki - Programista baz danych,Warszawa,Nie,,
Power BI developer / Data Engineer,"Gdynia, +2 locations",Tak,14 000,16 000
BI and Report Developer,"Kraków, +2 locations",Nie,10 000,18 000
Data Engineer,"Warszawa, +2 locations",Tak,25 000,29 000
Data Analyst,Warszawa,Tak,6 000,12 000
Database Engineer (Relational Databases),Warszawa,Nie,10 000,20 000
SQL Developer,Wrocław,Tak,13 200,16 800
Programista SQL / SQL Developer,Warszawa,Nie,Brak danych,Brak danych
Senior Data Engineer,"Gliwice, +2 locations",Tak,16 900,26 400
DWH Data Engineer,Warszawa,Tak,Brak danych,Brak danych
Solution Architect (Big Data),"Katowice, +4 locations",Tak,22 000,25 000
Senior Cloud Data Engineer,"Gliwice, +2 locations",Tak,18 400,28 750
Senior Data Engineer,Warszawa,Tak,Brak danych,Brak danych
NLP Engineer,Wrocław,Tak,15 000,27 500
Data Engineer,"Warszawa, +2 locations",Tak,15 000,20 000
WANNABE Data Engineer / REMOTE,"Warszawa, +2 locations",Tak,8 000,14 000
IT Application Specialist,Warszawa,Nie,Brak danych,Brak danych
Senior Cloud Data Engineer,"Gliwice, +2 locations",Tak,18 400,28 750
Senior Data Engineer,Warszawa,Tak,Brak danych,Brak danych
NLP Engineer,Wrocław,Tak,15 000,27 500
Data Engineer,"Warszawa, +2 locations",Tak,15 000,20 000
WANNABE Data Engineer / REMOTE,"Warszawa, +2 locations",Tak,8 000,14 000
IT Application Specialist,Warszawa,Nie,Brak danych,Brak danych
ABAP Developer for Master Data,Warszawa,Nie,Brak danych,Brak danych
Senior Data Engineer (REMOTE),Warszawa,Tak,30 000,45 000
Data Migration Specialist,"Warszawa, +18 locations",Tak,11 610,23 230
Lead Data Engineer,Kraków,Nie,28 000,32 000
Data Science Solution Architect,Warszawa,Tak,30 240,35 280
Global Reporting Analyst,Warszawa,Nie,Brak danych,Brak danych
Junior BI Developer,Warszawa,Nie,Brak danych,Brak danych
Database Developer with .NET,Wrocław,Tak,16 800,19 320
Big Data Internship,Poland,Tak,Brak danych,Brak danych
Junior Big Data Developer,Warszawa,Nie,7 500,11 000
Oracle Developer,Warszawa,Nie,Brak danych,Brak danych
Database Developer,Katowice,Tak,Brak danych,Brak danych
Global CRM Data Analyst,Warszawa,Nie,Brak danych,Brak danych
BI Developer (DWH),"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Data Engineer,Wrocław,Tak,15 000,19 000
Oracle Data Engineer,Warszawa,Nie,Brak danych,Brak danych
Senior Developer,Warszawa,Nie,18 000,20 000
Junior R&D Engineer Computer Vision&AI,"Bielsko-Biała, +3 locations",Tak,6 000,10 000
Data Engineer (mid/senior),Warszawa,Tak,23 520,30 240
Data Management Lead,"Kraków, +2 locations",Tak,13 200,20 300
Software Development Engineer Forecast,Kraków,Nie,24 000,36 000
Data Engineer (Azure),Warszawa,Nie,Brak danych,Brak danych
Data Analyst (Allegro Pay),Warszawa,Nie,Brak danych,Brak danych
Senior Data Scientist,Warszawa,Tak,17 000,23 000
Machine Learning and Data Scientist,Niš,Tak,10 680,18 580
(Senior) ETL DWH Specialist,Warszawa,Tak,Brak danych,Brak danych
Dev/Ops Internship,Gdańsk,Nie,,
Data Architect,Wrocław,Tak,24 000,30 400
(Senior) ML Engineer/Python Developer,Wrocław,Tak,20 000,24 000
Senior Data Scientist,Warszawa,Tak,25 000,34 000
Programista PL/SQL,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Junior Data Engineer,Warszawa,Tak,Brak danych,Brak danych
Big Data Engineer,"Warszawa, +4 locations",Nie,12 500,17 000
Senior Big Data Engineer,"Wrocław, +4 locations",Nie,16 500,22 500
Database Administrator,"Warszawa, +7 locations",Nie,Brak danych,Brak danych
Senior Power BI Developer,Warszawa,Tak,18 000,25 000
Senior Data Engineer ( Data Science Hub),"Warszawa, +8 locations",Nie,16 500,22 500
Mid Data Engineer ( Data Science Hub),"Warszawa, +8 locations",Nie,12 500,17 000
SQL Server DBA,Wrocław,Tak,Brak danych,Brak danych
Data Scientist,Warszawa,Tak,12 000,17 000
Junior Data Scientist,Warszawa,Tak,Brak danych,Brak danych
Senior Data Engineer,Warszawa,Tak,25 000,34 000
MLOps / Data Science Engineer,Gdańsk,Nie,18 500,23 500
Senior Data Analyst,"Kraków, +1 location",Nie,Brak danych,Brak danych
Data Engineer,"Kraków, +1 location",Nie,Brak danych,Brak danych
Mid Big Data Engineer,"Bratislava, +2 locations",Tak,9 290,16 260
Database Administrator,"Wrocław, +2 locations",Tak,12 000,15 000
BI Developer (remote),"Warszawa, +18 locations",Tak,Brak danych,Brak danych
Dynamics AX Consultant,"Warszawa, +2 locations",Tak,10 000,15 000
Data Scientist,Wrocław,Tak,Brak danych,Brak danych
Power BI Developer (Power Apps),Warszawa,Tak,25 200,26 880
Data Science Lead,Kraków,Nie,20 000,25 000
Data Analyst,Wrocław,Nie,10 000,20 000
Senior Data Engineer,"Kraków, +2 locations",Tak,17 000,26 000
Inżynier Danych,Gdańsk,Tak,Brak danych,Brak danych
MS SQL Developer,Warszawa,Nie,11 000,21 500
Remote SQL Consultant,Kraków,Tak,7 500,10 000
Senior Data Engineer,"Atlanta, +2 locations",Tak,Brak danych,Brak danych
Database Administrator (PostgreSQL),"Warszawa, +2 locations",Tak,16 000,17 600
Data Engineer,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Oracle Developer,Gdańsk,Tak,21 840,26 880
Mid/Senior Data Engineer,"Łódź, +2 locations",Nie,10 000,20 000
Business Intelligence Developer,Warszawa,Nie,Brak danych,Brak danych
Database Developer,Katowice,Nie,Brak danych,Brak danych
Senior Data Engineer,Wrocław,Tak,18 000,24 000
SAS Developer,Warszawa,Nie,16 000,21 000
Data Analyst with SQL,Warszawa,Tak,8 000,10 000
Junior Workday Integration Consultant,Warszawa,Nie,Brak danych,Brak danych
Big Data Engineer,Kraków,Tak,16 000,25 000
Junior BI/Data Engineer (Remote),"Gdańsk, +3 locations",Tak,6 000,9 000
ETL Developer,Warszawa,Tak,12 000,15 000
Data Engineer,"Gliwice, +2 locations",Tak,12 100,18 900
Cloud Data Engineer,"Gliwice, +2 locations",Tak,13 500,21 100
Azure Data Engineer,Wrocław,Tak,25 200,26 880
Technology Specialist Engineer - Azure,Kraków,Nie,Brak danych,Brak danych
Programista Hurtowni Danych,Wrocław,Nie,16 800,23 100
Business Intelligence Developer,Gdańsk,Nie,Brak danych,Brak danych
ETL Developer,Warszawa,Tak,12 000,15 000
Data Engineer,"Gliwice, +2 locations",Tak,12 100,18 900
Cloud Data Engineer,"Gliwice, +2 locations",Tak,13 500,21 100
Azure Data Engineer,Wrocław,Tak,25 200,26 880
Technology Specialist Engineer - Azure,Kraków,Nie,Brak danych,Brak danych
Programista Hurtowni Danych,Wrocław,Nie,16 800,23 100
Business Intelligence Developer,Gdańsk,Nie,Brak danych,Brak danych
Product Analyst (mid/senior),"Warszawa, +2 locations",Tak,13 000,22 000
Technology Specialist - Power BI,Kraków,Nie,Brak danych,Brak danych
Lead Data Engineer,"Warszawa, +2 locations",Tak,25 000,26 500
Senior Data Analyst/Data Modeler,Kraków,Nie,Brak danych,Brak danych
Data Engineer,"Warszawa, +2 locations",Tak,20 000,25 000
Data Analyst (mid/senior),"Warszawa, +2 locations",Tak,13 000,22 000
Data Analytics Expert,Warszawa,Nie,Brak danych,Brak danych
Data Engineer,Poznań,Nie,12 000,23 100
Architekt Baz Danych,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Data Management Specialist,Warszawa,Tak,Brak danych,Brak danych
BI Developer,Gdańsk,Nie,Brak danych,Brak danych
AI Engineer,"Wieliczka, +2 locations",Tak,22 000,30 000
Software Development Engineer III - Data (Fulfillment),Kraków,Nie,24 000,36 000
Software Development Manager - Data,Kraków,Nie,29 000,43 000
(Senior) ETL/DWH Specialist with Talend,Warszawa,Tak,Brak danych,Brak danych
Cloud Engineer,"Madryt, +2 locations",Tak,15 000,16 500
Sr. Data Scientist,"Wrocław, +14 locations",Tak,12 000,24 000
PL/SQL Developer,Warszawa,Tak,14 000,19 500
Data Engineer (GCP/HADOOP),Warszawa,Tak,20 000,27 000
Programista Hurtowni Danych,Warszawa,Nie,Brak danych,Brak danych
Azure Data Engineer,"Gdańsk, +1 location",Tak,16 000,26 000
