nazwa,miasto,zdalnie,zarobki_min,zarobki_max
DevOps Team Lead – FinTech,Kraków,Nie,25 000,27 000
DevOps Engineer,Warszawa,Tak,24 000,29 000
DevOps (Mid/Senior),Warszawa,Nie,15 000,20 000
REMOTE DevOps Engineer,Wrocław,Tak,25 000,35 000
Inżynier DevOps,"Wrocław, +2 locations",Tak,14 000,18 000
Główny Inżynier w dz. IT- Lider DevOps,"Zielonka, +11 locations",Nie,Brak danych,Brak danych
DevOps Engineer,Warszawa,Tak,Brak danych,Brak danych
SAP DevOps Engineer,Wrocław,Tak,Brak danych,Brak danych
Devops Engineer,"Warszawa, +3 locations",Nie,Brak danych,Brak danych
Szkółka DevOps,Warszawa,Nie,2 500,3 200
AWS Engineer with Node.js,"Warszawa, +2 locations",Tak,27 000,32 000
AWS DevOps Mid Engineer- Remote,Kraków,Tak,12 000,18 000
"Site Reliability Engineer, Storage",San Francisco,Tak,Brak danych,Brak danych
DevOps Engineer,"Warszawa, +2 locations",Tak,39 530,57 100
DevOps Engineer,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,"Warszawa, +2 locations",Nie,18 000,25 000
AWS DevOps Mid Engineer- Remote/Wroclaw,Wrocław,Tak,12 000,18 000
DevOps Engineer,Kraków,Nie,14 000,20 000
Regular DevOps,"Katowice, +1 location",Tak,10 000,18 000
Build Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Inżynier DevOps,"Rzeszów, +14 locations",Tak,Brak danych,Brak danych
Cloud Specialist,Poznań,Tak,15 000,25 000
Cloud Engineer/DevOps (AWS),Warszawa,Nie,Brak danych,Brak danych
Młodszy programista SQL,Warszawa,Nie,7 000,9 000
Cloud Engineer,"Warszawa, +2 locations",Tak,15 000,16 500
Senior Site Reliability Engineer,Warszawa,Nie,23 500,32 000
DevOps Engineer,"Warszawa, +1 location",Tak,22 000,27 000
DevOps Operations Engineer Team Lead,Warszawa,Nie,Brak danych,Brak danych
Junior Software Developer (SBC),"Bydgoszcz, +2 locations",Tak,Brak danych,Brak danych
DevOps Engineer for Live Data,Warszawa,Nie,18 000,21 800
Web Developer Laravel,Poznań,Tak,9 000,14 000
Inżynier systemowy - DevOps (Usługi),Katowice,Nie,Brak danych,Brak danych
DevOps Engineer (k/m),Zielonka,Nie,Brak danych,Brak danych
DevOps Operations Engineer,Warszawa,Nie,Brak danych,Brak danych
Delivery Manager (DevOps),"Poznań, +2 locations",Tak,18 480,23 520
Azure DevOps Engineer,Warszawa,Nie,25 200,27 700
Sr Software Engineer-Container Platform,Warszawa,Nie,35 000,70 000
AWS DevOps Engineer,Wrocław,Tak,21 840,25 200
Senior DevOps engineer,Wrocław,Tak,25 000,27 000
DevOps Engineer,Warszawa,Tak,26 900,30 250
Senior OS Engineer,Warszawa,Nie,35 000,70 000
DevOps Engineer,"Gdańsk, +4 locations",Tak,Brak danych,Brak danych
AWS DevOps Engineer,Katowice,Nie,14 000,20 000
Senior Cloud Services Engineer,Warszawa,Nie,35 000,70 000
DevOps Engineer (AWS/Azure),"Gdańsk, +2 locations",Tak,17 000,20 000
Junior DevOps Engineer,Warszawa,Tak,6 000,9 000
DevOps Expert - 100% REMOTELY,Warszawa,Tak,45 000,57 000
Junior DevOps Engineer,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Senior DevOps Engineer,"Warszawa, +2 locations",Tak,32 940,41 730
DevOps Engineer,"Gdańsk, +2 locations",Nie,15 600,18 000
DevOps Engineer,Warszawa,Tak,27 000,37 000
Senior DevOps Engineer,"Warszawa, +1 location",Tak,21 100,32 000
Azure DevOps Engineer,"Poznań, +2 locations",Tak,Brak danych,Brak danych
AWS DevOps Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Junior DevOps Engineer,Warszawa,Tak,5 000,7 000
Cloud Engineer/DevOps (AWS),Warszawa,Tak,28 560,36 120
DevOps Engineer,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,"New York, +1 location",Tak,25 910,51 240
Senior Site Reliability Engineer (SRE),"Warszawa, +2 locations",Tak,14 000,18 000
Senior DevOps Engineer,"Warszawa, +2 locations",Tak,20 000,26 001
Junior Site Reliability Engineer,Warszawa,Nie,Brak danych,Brak danych
Operations Engineer (DevOps),Wrocław,Nie,12 000,16 000
DevOps AWS Engineer,"Wrocław, +2 locations",Tak,13 000,17 000
Senior DevOps Engineer,Warszawa,Tak,22 000,32 000
Mid DevOps Engineer,Warszawa,Tak,12 000,22 000
System Engineer,"Kraków, +2 locations",Tak,19 000,31 000
DevOps Engineer for CI/CD pipelines,Warszawa,Tak,13 000,23 000
DevOps Engineer / Backend Developer,Gdańsk,Tak,Brak danych,Brak danych
DevOps,"Warszawa, +2 locations",Tak,20 160,25 200
DevOps Engineer,Wrocław,Nie,12 000,17 000
Senior DevOps,Warszawa,Tak,20 000,34 000
DevOps Ninja,Białystok,Tak,20 000,27 000
DevOps Technical Architect,"Gdańsk, +4 locations",Tak,16 000,28 000
DevOps Engineer,Poznań,Tak,18 000,25 000
AWS Senior/Lead DevOps/Cloud Architect,"Wrocław, +2 locations",Tak,20 000,32 000
Cloud Engineering Lab - Intern,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Mid/Senior DevOps Engineer with GCP/AWS,Warszawa,Tak,18 000,28 000
DevOps Engineer,"Lublin, +3 locations",Tak,Brak danych,Brak danych
Mid/Senior DevOps Engineer with Azure,Warszawa,Tak,18 000,28 000
Mid DevOps Engineer,Warszawa,Tak,12 000,22 000
System Engineer,"Kraków, +2 locations",Tak,19 000,31 000
DevOps Engineer for CI/CD pipelines,Warszawa,Tak,13 000,23 000
DevOps Engineer / Backend Developer,Gdańsk,Tak,Brak danych,Brak danych
DevOps,"Warszawa, +2 locations",Tak,20 160,25 200
DevOps Engineer,Wrocław,Nie,12 000,17 000
Senior DevOps,Warszawa,Tak,20 000,34 000
DevOps Ninja,Białystok,Tak,20 000,27 000
