nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Engineering Manager,Kraków,Tak,19 000,29 000
Java Backend/Full-stack Developer,Kraków,Tak,8 400,9 000
Middle/Senior Java Developer,Wrocław,Tak,12 500,25 000
IT System Engineer (Java),Kraków,Tak,25 000,27 000
Java Developer,Kraków,Nie,12 000,23 000
Junior Java Developer,Kraków,Nie,6 000,8 000
Java Developerzy,Warszawa,Tak,20 000,29 000
Senior Java Developer ( eCommerce ),"Warszawa, +14 locations",Tak,23 500,26 500
Starszy Programista Java w zespole R&D,"Poznań, +2 locations",Tak,Brak danych,Brak danych
Java Developer,Wrocław,Nie,9 500,17 000
Senior SAP Hybris Developer,"Gdynia, +1 location",Tak,20 000,27 000
Mid Java Developer,Białystok,Tak,12 000,14 000
Java Developer,"Warszawa, +4 locations",Tak,10 000,19 000
Java Software Engineer,"Warszawa, +3 locations",Nie,Brak danych,Brak danych
Mid Java developer,"Wrocław, +2 locations",Tak,16 000,23 000
Remote Java Backend Developer,"Warszawa, +2 locations",Tak,13 000,19 000
Junior Java Developer,Gdynia,Nie,3 500,4 400
"Software Engineer, Back-End",San Francisco,Tak,Brak danych,Brak danych
Junior Java Developer,Warszawa,Tak,7 560,9 000
Backend Java Developer,Kraków,Nie,Brak danych,Brak danych
Senior Java or Kotlin Engineer (REMOTE),"Warszawa, +2 locations",Tak,22 000,30 000
Junior Java Developer,"Kraków, +2 locations",Tak,6 800,11 700
Software Engineer with Java,Gdańsk,Tak,14 300,17 600
Senior Java Craftsman,"Białystok, +2 locations",Tak,16 000,26 000
Cloud Software Developer,Kraków,Nie,Brak danych,Brak danych
Młodszy programista Java,Wrocław,Nie,Brak danych,Brak danych
Automation Tester with Java,Warszawa,Nie,17 000,22 000
Java Developer,Warszawa,Tak,17 000,30 000
Staff Software Engineer,San Francisco,Tak,Brak danych,Brak danych
Junior Software Engineer,Gdynia,Nie,7 500,9 000
"Java Developer (Cloud, IoT)","Wrocław, +2 locations",Nie,19 000,29 400
Software Engineer,Kraków,Nie,16 000,21 000
Java Software Engineer,Warszawa,Tak,Brak danych,Brak danych
"Backend Developer (Java, SQL)",Warszawa,Tak,Brak danych,Brak danych
Software Architect,San Francisco,Tak,Brak danych,Brak danych
Java Developer,Warszawa,Nie,Brak danych,Brak danych
Junior Software Engineer - Jira Cloud,Gdańsk,Tak,Brak danych,Brak danych
Software Developer,Warszawa,Tak,16 000,25 000
Java Developer,"London, +2 locations",Nie,33 920,36 110
Senior Cloud Java Developer,Warszawa,Nie,Brak danych,Brak danych
Java SE Developer for Automotive,Łódź,Nie,13 300,24 000
Android Engineer,Londyn,Tak,Brak danych,Brak danych
Młodszy programista Java (Telco/IoT),"Wrocław, +1 location",Nie,Brak danych,Brak danych
Back-end Engineer - Java,Paryż,Tak,Brak danych,Brak danych
Senior Java Developer,"Warszawa, +6 locations",Tak,28 600,30 500
Principal Engineer,"Warszawa, +3 locations",Tak,30 500,40 500
Fullstack Tech Lead (REMOTE),Warszawa,Tak,45 000,55 000
Java developer for security revolution,Gdańsk,Nie,16 000,24 000
Java Backend Developer (regular),"Warszawa, +3 locations",Tak,11 900,20 000
Java Backend Developer,Katowice,Nie,Brak danych,Brak danych
Java Developer B2B Customer Facing Prod.,Warszawa,Nie,Brak danych,Brak danych
Junior Java Developer,Wrocław,Nie,4 500,7 000
Mid Back-End Developer,"Warszawa, +2 locations",Tak,18 500,32 500
Senior Fullstack Developer (Java + Angular),Poznań,Tak,19 680,30 240
Principal Software Engineer,"Kraków, +5 locations",Tak,29 000,35 000
Junior Java Developer,Warszawa,Nie,4 000,8 000
Junior Java Developer,"Warszawa, +16 locations",Tak,Brak danych,Brak danych
Savangard Labs,Częstochowa,Nie,Brak danych,Brak danych
Team Lead (Java+JavaScript),Warszawa,Nie,30 000,33 000
Java Developer,Warszawa,Tak,12 000,22 000
Remote Sr/Staff Backend Engineer - Java,"Kraków, +2 locations",Tak,25 000,30 000
Java Developer,"Warszawa, +2 locations",Tak,12 000,14 500
Junior Java Technical Architect,Gdańsk,Tak,24 360,28 560
Java Full Stack Engineer (+Angular),Warszawa,Nie,24 000,28 000
Technical Lead,"London, +2 locations",Tak,25 000,35 000
