nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Android Developer,Wrocław,Tak,6 000,9 000
Android Software Engineer,"Wrocław, +2 locations",Tak,14 000,18 000
Senior iOS Developer,Poznań,Nie,Brak danych,Brak danych
Flutter Developer,Wrocław,Tak,6 000,9 000
iOS Developer,Wrocław,Tak,6 000,9 000
Senior Android Developer,Poznań,Nie,Brak danych,Brak danych
Android Developer,Wrocław,Nie,14 800,20 500
Remote Flutter Developer,"Warszawa, +3 locations",Tak,11 500,18 000
iOS Developer,Warszawa,Tak,24 000,29 000
Junior iOS Developer (bankowość mobilna),Katowice,Nie,Brak danych,Brak danych
iOS Developer,"Poznań, +1 location",Tak,12 600,16 500
Senior iOS Engineer,Londyn,Tak,43 220,57 450
Senior Android/iOS Developer with Flutter,"Bydgoszcz, +1 location",Tak,16 000,25 300
Lead/Senior Mobile Engineer,Warszawa,Tak,39 000,45 000
Mid/Senior iOS Developer,Poznań,Tak,20 000,26 000
Android Developer,"Kraków, +1 location",Tak,11 000,14 300
Android Developer,Warszawa,Tak,10 000,20 000
Senior Rust Developer,Toronto,Tak,Brak danych,Brak danych
Mid/Senior Android Developer,"Warszawa, +2 locations",Tak,14 000,24 000
Android Developer,Gdańsk,Tak,15 120,20 160
Senior Linux Engineer,"Łódź, +2 locations",Tak,13 300,24 000
Programista Android (POS),Rzeszów,Tak,5 000,8 000
Mobile (Android - flutter),"Warszawa, +3 locations",Tak,15 800,27 500
Software Engineer with Objective-C,"Londyn, +17 locations",Tak,12 000,20 000
Senior iOS Developer,"Warszawa, +2 locations",Tak,24 000,29 300
Android Developer - Remote,Limassol,Tak,9 290,18 580
Mid iOS Developer,"Warszawa, +2 locations",Tak,20 000,24 100
Remote Mid iOS Developer,"Poznań, +2 locations",Tak,14 000,18 000
Android Developer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Flutter Developer,Warszawa,Tak,16 000,25 000
Junior iOS Developer,Warszawa,Tak,5 000,9 000
iOS WP Pilot,Warszawa,Tak,Brak danych,Brak danych
Android Developer,"Warszawa, +1 location",Tak,10 000,15 000
iOS Developer,"Gdańsk, +2 locations",Tak,11 500,18 000
Senior iOS Engineer - Remote,"Warszawa, +2 locations",Tak,26 350,40 410
Android Developer Kotlin,Kraków,Nie,22 000,22 500
Senior iOS Developer,Łódź,Tak,16 000,25 000
Senior Android Engineer - Remote,Warszawa,Tak,26 350,40 410
"iOS Engineer, AI Services (Edge ML)",Kraków,Tak,11 000,19 000
Senior Android Developer,Kraków,Tak,16 500,21 900
Regular React Native Developer,Kraków,Tak,14 000,21 000
Senior Flutter Developer,Katowice,Tak,16 500,21 900
Senior iOS Developer,Kraków,Tak,18 500,24 400
Junior iOS Developer,Łódź,Nie,4 000,8 000
Mobile QA Engineer,Warszawa,Nie,Brak danych,Brak danych
Middle to Senior Mobile Engineer,"Sunny Isles Beach, +2 locations",Tak,15 370,24 160
Senior Mobile Engineer,"Sunny Isles Beach, +2 locations",Tak,15 370,24 160
Senior React Native Developer,Kraków,Tak,21 000,28 500
Senior Mobile Developer (Flutter),"Gdynia, +1 location",Tak,16 000,21 000
Senior iOS Developer,"Kraków, +1 location",Nie,20 000,28 000
Software Engineer for iOS/Android,Wrocław,Nie,12 000,17 000
iOS Application Developer,Gdańsk,Tak,16 000,18 000
Junior Android Developer  - WP Pilot,Warszawa,Tak,Brak danych,Brak danych
Senior/Principal Android Engineer,"Łódź, +1 location",Tak,16 000,32 000
"Senior Software Engineer, iOS",Los Angeles,Tak,30 750,58 550
Senior Mobile (Flutter) Developer,Wrocław,Tak,19 000,25 000
Flutter Developer,Rzeszów,Tak,11 000,14 300
Flutter Developer,Kraków,Nie,16 000,20 000
Junior React Native Developer,Warszawa,Nie,5 000,9 000
Mobile (Flutter) Developer,Wrocław,Tak,14 000,17 000
Senior React Native Developer,Warszawa,Tak,16 800,25 200
LTE/5G Mobile Telecommunication Engineer,Warszawa,Nie,Brak danych,Brak danych
React Native Developer,Gdańsk,Tak,15 600,18 000
IOS Developer,Warszawa,Tak,16 000,20 000
Android Developer,Warszawa,Tak,16 000,20 000
Mobile Developer (mid),Katowice,Tak,12 000,14 000
React Native Developer,Dąbrowa Górnicza,Tak,12 000,17 000
Mid iOS Developer | REMOTE,Poznań,Tak,10 000,16 000
Senior iOS Engineer,"Wrocław, +2 locations",Tak,19 000,23 000
Senior iOS Developer [Swift/Realm],"Warszawa, +1 location",Tak,,
iOS Developer,Warszawa,Tak,12 000,16 000
Web Application Penetration Tester,Warszawa,Nie,Brak danych,Brak danych
"Software Engineer, Android",Kraków,Tak,14 000,17 000
iOS Developer,"Warszawa, +1 location",Tak,13 000,24 000
Mobile (iOS),"Warszawa, +3 locations",Tak,15 800,27 500
Senior Android Developer,"Warszawa, +2 locations",Tak,24 000,29 300
Junior Flutter Developer,Warszawa,Nie,5 000,9 000
iOS/Android Team Lead,"Wrocław, +2 locations",Tak,22 000,27 000
Android Developer,"Gdańsk, +4 locations",Nie,Brak danych,Brak danych
iOS Developer,"Warszawa, +1 location",Tak,13 000,24 000
Mobile (iOS),"Warszawa, +3 locations",Tak,15 800,27 500
Senior Android Developer,"Warszawa, +2 locations",Tak,24 000,29 300
Junior Flutter Developer,Warszawa,Nie,5 000,9 000
iOS/Android Team Lead,"Wrocław, +2 locations",Tak,22 000,27 000
Android Developer,"Gdańsk, +4 locations",Nie,Brak danych,Brak danych
iOS Developer,"Warszawa, +2 locations",Tak,18 000,25 000
Remote Senior Android Developer,"Bydgoszcz, +1 location",Tak,16 000,25 300
Android Developer,"Poznań, +2 locations",Tak,18 000,26 000
Remote iOS Developer,Warszawa,Tak,Brak danych,Brak danych
iOS Developer,"Poznań, +2 locations",Tak,17 000,25 000
Android Developer (Mid/Senior),"Warszawa, +7 locations",Tak,22 000,27 000
iOS Developer - 100% remote,Warszawa,Tak,18 000,24 000
Mid Android Developer,"Poznań, +2 locations",Tak,10 000,16 000
iOS Developer,Warsaw,Tak,23 520,28 560
Android Developer,"Katowice, +2 locations",Tak,17 000,24 000
Senior Android Developer,München,Tak,11 610,18 580
Android Developer,"Warszawa, +2 locations",Tak,18 000,26 880
Mobile Engineer (Android),"Warszawa, +5 locations",Tak,10 980,16 250
Senior Android Engineer,"Wrocław, +1 location",Tak,26 350,40 410
Lead Android Developer Kotlin Java,Kraków,Nie,27 000,27 500
Junior React Native Developer,Łódź,Nie,5 000,8 500
Senior Mobile Software Engineer,"Poznań, +1 location",Nie,17 500,24 000
Mobile Software Engineer,"Poznań, +1 location",Nie,11 500,17 500
Flutter Developer,Wrocław,Tak,Brak danych,Brak danych
Android Software Developer,Warszawa,Nie,13 000,18 000
Android/Kotlin developer,"Kraków, +2 locations",Tak,16 800,25 200
iOS developer,"Kraków, +2 locations",Tak,16 800,25 200
Flutter (Intership Program),Gliwice,Nie,,
Devops Engineer,Gliwice,Tak,21 600,25 600
Android Developer,"Gdańsk, +2 locations",Tak,9 000,17 000
iOS Developer,"Gdańsk, +2 locations",Tak,12 000,20 000
React Native Developer,"Gdańsk, +2 locations",Tak,9 000,17 000
Senior iOS Developer,"Gdańsk, +2 locations",Tak,22 000,26 000
iOS Developer (Mid/Senior),Warszawa,Tak,Brak danych,Brak danych
iOS Developer (REMOTE),Warszawa,Tak,20 000,25 000
Internship-Mobile Communication Division,Warszawa,Nie,Brak danych,Brak danych
React Native (Senior / Mid) Developer,Gdynia,Tak,14 000,22 000
WP Pilot Junior iOS Developer,Warszawa,Tak,Brak danych,Brak danych
Lead/Senior React Native Developer,"Warszawa, +2 locations",Tak,24 000,32 000
Regular Android Software Engineer,"Kraków, +5 locations",Tak,13 000,18 000
Senior Android Engineer,"Warszawa, +2 locations",Tak,18 200,28 300
Senior iOS Engineer,"Warszawa, +2 locations",Tak,24 000,30 000
