nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Junior IT Rekruter,Warszawa,Nie,4 000,6 000
Technical writer,Kraków,Tak,9 000,14 000
Mapbox / GIS developer,Poznań,Tak,11 000,16 000
Technical Writer (part-time as optional),Kraków,Tak,17 570,20 640
SCCM Deployment Technician,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Junior IT Talent Sourcer,Łódź,Tak,3 000,5 000
Programista układów programowalnych FPGA,Zielonka,Nie,Brak danych,Brak danych
Analityk Biznesowy (Workflow),Kraków,Nie,Brak danych,Brak danych
Junior Sales Specialist,Poznań,Nie,Brak danych,Brak danych
Salesforce Declarative Administrator,Warszawa,Tak,18 480,24 360
Marketing Automation Expert,Gdańsk,Nie,Brak danych,Brak danych
STAŻ – MARKETING,Gdynia,Nie,Brak danych,Brak danych
Salesforce Developer,Kraków,Tak,15 600,18 000
STAŻ W DZIALE ZARZĄDZANIA JAKOŚCIĄ,Gdynia,Nie,Brak danych,Brak danych
STAŻ – KONSTRUKTOR ELEKTRONIK,Gdynia,Nie,Brak danych,Brak danych
Junior Fullstack Developer,Kielce,Nie,7 000,9 000
Network Operations Center (NOC) Engineer,Warszawa,Tak,Brak danych,Brak danych
Software Developer,Warszawa,Tak,16 000,25 000
Junior RPA Developer,Kraków,Nie,Brak danych,Brak danych
Junior D365 Analyst,Kraków,Nie,Brak danych,Brak danych
Software Engineer,Warszawa,Tak,20 000,30 000
Endpoint Management Engineer,Gdańsk,Nie,Brak danych,Brak danych
Technical Engineer with SCCM,Bydgoszcz,Tak,Brak danych,Brak danych
InTune MDM Consultant,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Technical Engineer (Active Directory),Bydgoszcz,Tak,Brak danych,Brak danych
"IT Governance Officer – CY, GR or UK",Limassol,Tak,Brak danych,Brak danych
Audytor Wewnętrzny,Warszawa,Nie,Brak danych,Brak danych
Blockchain Developer,Warszawa,Tak,15 000,25 000
FPGA Engineer,Kraków,Nie,15 000,21 000
Industry 4.0 Specialist,Dąbrowa Górnicza,Nie,Brak danych,Brak danych
TIBCO Specialist,"Kraków, +2 locations",Tak,24 500,32 650
Junior IT Recruiter,Katowice,Tak,Brak danych,Brak danych
Calypso Developer,"Warszawa, +1 location",Tak,22 400,35 200
Manufacturing Applications Snr Analyst,Łódź,Nie,Brak danych,Brak danych
5G Algorithm & Simulation Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Matlab Software Developer,Piaseczno,Nie,Brak danych,Brak danych
HR Manager,Kraków,Nie,8 780,10 980
L2 NETWORK ENGINEER - DDI,"Bydgoszcz, +2 locations",Tak,Brak danych,Brak danych
Communication Engineer - Focus Microsoft,Warszawa,Nie,Brak danych,Brak danych
CPQ Developer,Warszawa,Tak,Brak danych,Brak danych
Junior Application Developer,Szczecin,Nie,Brak danych,Brak danych
Senior Solution Consultant,Gdańsk,Nie,Brak danych,Brak danych
JUNIOR HELP DESK,Wrocław,Nie,5 000,6 500
SIAM Operation Service Manager,Kraków,Tak,Brak danych,Brak danych
Infrastructure Hosting Service Manager,Kraków,Tak,Brak danych,Brak danych
Ecommerce Manager,"Poznań, +2 locations",Tak,12 000,20 000
IT Recruiter in Crypto,Wrocław,Nie,6 500,9 500
Junior Projekt Spezialist mit Deutsch,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Supple Chain Business Consultant,Szczecin,Nie,Brak danych,Brak danych
Erlang Engineer,Kraków,Tak,19 000,29 000
HR Business Partner,Warszawa,Nie,Brak danych,Brak danych
Solidity Developer - Agregator giełd NFT,"Wrocław, +2 locations",Tak,23 000,30 000
Konsultant SalesForce,Poznań,Nie,,
IT Business Analyst: Product development,"Boca Raton, +2 locations",Tak,17 570,32 940
Content Writer (with IT background),Warszawa,Tak,10 000,15 000
IT Service Management Expert,Warszawa,Tak,10 000,20 000
IT Operations Lead,Warszawa,Nie,Brak danych,Brak danych
People & Culture Manager (Team Leader),Warszawa,Tak,8 000,12 000
Cloud Developer with Denodo,"Wrocław, +1 location",Tak,12 000,18 500
Inżynier IT-Systemy Sieciowe,"Gliwice, +1 location",Nie,8 000,15 000
Junior Recruitment Specialist,Wrocław,Nie,4 500,6 000
Technical Writer,"Poznań, +1 location",Nie,10 000,13 500
Salesforce Developer,Warszawa,Nie,Brak danych,Brak danych
React Native Engineer,Kraków,Nie,11 000,21 000
Salesforce Developer,Warszawa,Tak,Brak danych,Brak danych
Junior Salesforce Developer,Poznań,Nie,6 500,9 000
Remote Blockchain Developer,Gdynia,Tak,4 500,9 000
SDK Engineering Manager,"Katowice, +18 locations",Tak,21 000,27 000
Junior C++ Developer,Gdańsk,Nie,12 000,13 500
IT Rekruter/ Rekruterka,"Szczecin, +2 locations",Tak,7 000,10 000
SAP ABAP Developer,Warszawa,Nie,Brak danych,Brak danych
Tech Recruiter,Poznań,Tak,7 300,10 200
Salesforce Fullstack Consultant,Poland,Tak,Brak danych,Brak danych
Salesforce Fullstack Developer Lab,Poland,Tak,Brak danych,Brak danych
ServiceNow Developer,"Katowice, +2 locations",Tak,16 000,27 000
Cloud Engineer,Warszawa,Nie,13 000,19 000
SAP CX/C4C Consultant,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Senior Cloud Engineer,Warszawa,Nie,18 000,27 000
SAP PP-PI / PP-DS Consultant,Poland,Tak,25 000,35 000
ServiceNow Developer,"Katowice, +2 locations",Tak,16 000,27 000
Cloud Engineer,Warszawa,Nie,13 000,19 000
SAP CX/C4C Consultant,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Senior Cloud Engineer,Warszawa,Nie,18 000,27 000
SAP PP-PI / PP-DS Consultant,Poland,Tak,25 000,35 000
"Technical Leader, Integration","Wrocław, +2 locations",Tak,Brak danych,Brak danych
Senior Product Manager - SAP,Warszawa,Nie,13 000,19 000
Product Specialist - Manufacturing,Warszawa,Nie,13 000,19 000
IT Recruiter / HR,Wrocław,Nie,Brak danych,Brak danych
Go Developer (eBike),Warszawa,Nie,Brak danych,Brak danych
Crypto API Engineer(FULLY REMOTE),Atlanta,Tak,46 120,54 900
Backend Software Engineer,London,Tak,27 360,45 410
Blockchain Developer,Gliwice,Tak,20 000,35 000
Senior Delivery Manager,Wrocław,Tak,Brak danych,Brak danych
ServiceNOW ITSM Subject Matter Expert,"Wrocław, +2 locations",Tak,12 000,20 000
Software Developer  Onboard Diagnostics,Wrocław,Nie,Brak danych,Brak danych
Jira Engineer,"Wrocław, +4 locations",Tak,Brak danych,Brak danych
Senior Web Developer AEM (Team Lead),Warsaw,Nie,23 000,30 000
Jira Product Owner,"Łódź, +1 location",Tak,Brak danych,Brak danych
Technical Author,Wrocław,Tak,Brak danych,Brak danych
Senior ServiceNow Developer,"Poznań, +2 locations",Tak,Brak danych,Brak danych
ServiceNow Technical Consultant,"Poznań, +2 locations",Tak,Brak danych,Brak danych
Infrastructure Engineer,Genewa,Tak,14 640,27 450
Blockchain Engineer (Substrate / Rust),Nashville,Tak,29 280,43 920
Kupiec IT/IT Procurement Specialist,Warszawa,Tak,16 000,19 000
Senior Backend Engineer,"Poznań, +2 locations",Tak,18 000,26 000
IT Recruiter,Wrocław,Tak,8 000,12 000
Intern Content Engineer,Katowice,Nie,4 000,5 000
