nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Product Owner,Kraków,Tak,16 000,30 000
IT Project Manager,Warszawa,Tak,15 000,30 000
Delivery Team Lead / Scrum Master,"Gdańsk, +4 locations",Tak,15 000,26 000
Scrum Master,Warszawa,Nie,Brak danych,Brak danych
Asystent Kierownika Projektów Staż,Rzeszów,Nie,Brak danych,Brak danych
Scrum Master - Digital Banking,Gdańsk,Nie,16 000,20 000
Scrum Master,Gdańsk,Tak,14 000,20 000
Senior Product Manager,"Warszawa, +2 locations",Tak,35 140,43 920
Technical Lead,Kraków,Nie,Brak danych,Brak danych
IT Systems Change Management Specialist,Warszawa,Nie,Brak danych,Brak danych
Senior Scrum Master,Warszawa,Tak,21 000,27 720
Project Manager,"Wieliczka, +2 locations",Tak,12 000,16 800
ITIL Problem Manager,Warszawa,Nie,Brak danych,Brak danych
Product Manager,Londyn,Tak,Brak danych,Brak danych
Resource Manager,Kraków,Tak,10 100,13 500
"Delivery Manager, CMS",Kraków,Tak,17 000,24 000
Product Owner,Tajęcina,Nie,5 000,9 000
Project Manager,Kraków,Tak,10 100,13 500
Scrum Master,Kraków,Nie,Brak danych,Brak danych
IT PMO Specialist,Kraków,Nie,Brak danych,Brak danych
Junior Software Engineer,"Warszawa, +2 locations",Tak,3 070,6 150
Senior Project Manager,Poznań,Tak,17 000,20 000
Engineering Manager,"Warszawa, +1 location",Nie,22 500,28 000
Product Owner,Warszawa,Tak,10 500,15 750
Fault Coordinator,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Technical Program Manager,"Warszawa, +3 locations",Tak,25 700,40 500
Product Manager,Kraków,Tak,25 000,30 000
Koordynator projektów IT,Warszawa,Nie,Brak danych,Brak danych
IT Project Manager,Gdańsk,Nie,Brak danych,Brak danych
Praktyki w Biurze Zarządzania Projektami,Warszawa,Nie,,
PMO,Wrocław,Nie,20 000,26 000
Scrum Master,"Gdańsk, +4 locations",Tak,Brak danych,Brak danych
Project Manager,Wrocław,Tak,12 000,17 000
IT Project Manager,Wrocław,Tak,10 000,14 000
Technical Program Manager – Ad Intel,"Warsaw, +5 locations",Tak,51 100,65 030
Product Manager,"Denver, +2 locations",Tak,21 960,30 750
Project Manager,"Limassol, +2 locations",Nie,Brak danych,Brak danych
IT Project Manager,"Warszawa, +1 location",Nie,Brak danych,Brak danych
Regular/Senior Project Manager,"Warszawa, +13 locations",Tak,Brak danych,Brak danych
IT Project Manager,Warszawa,Nie,Brak danych,Brak danych
IT Project Manager in Crypto,Wrocław,Nie,9 000,14 000
Junior Project Manager,Poznań,Nie,Brak danych,Brak danych
Junior Project Manager,Kraków,Nie,Brak danych,Brak danych
Scrum Master,"Warszawa, +4 locations",Tak,Brak danych,Brak danych
Senior Project Manager,Kraków,Tak,15 100,18 000
Product Owner,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Junior Project Manager,Opole,Nie,5 000,8 000
Head of Product,"Gdańsk, +1 location",Tak,32 000,38 000
IT Project Manager,Warszawa,Tak,15 000,20 000
Manager Projektu,Warszawa,Nie,Brak danych,Brak danych
Kierownik Dz. Zarządzania Kanałem Elekt.,Warszawa,Nie,Brak danych,Brak danych
Senior Product Owner (REMOTE),Warszawa,Tak,32 000,36 500
Engineering Manager,Wrocław,Nie,Brak danych,Brak danych
Product Owner,"Wrocław, +2 locations",Tak,14 000,18 000
Senior Product Manager,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Technical Project Manager,"Katowice, +1 location",Nie,Brak danych,Brak danych
Product Owner,Warszawa,Tak,14 000,17 000
Project Manager,Warszawa,Tak,10 000,13 000
Scrum/Flow Master,Kraków,Nie,7 000,12 000
CRM Delivery Manager,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Data Product Manager - Allegro Pay,Warszawa,Nie,Brak danych,Brak danych
Scrum Master,Warszawa,Nie,23 520,26 880
TEAM MANAGER,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Scrum Master,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
ART PRODUCER/ PROJECT MANAGER,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Technical Program Manager–Ad Intel,"Warsaw, +5 locations",Tak,30 190,51 100
Project Manager,"Lublin, +2 locations",Tak,Brak danych,Brak danych
Product Owner,Wrocław,Nie,14 000,18 000
Engineering Manager,"Warszawa, +18 locations",Tak,Brak danych,Brak danych
Product Owner Platformy Edukacyjnej,Warszawa,Tak,7 000,14 000
Koordynator IT,Warszawa,Nie,Brak danych,Brak danych
Delivery Manager,Warszawa,Tak,10 000,15 000
Scrum Master,Wrocław,Tak,10 000,13 000
Scrum Master,Kraków,Nie,Brak danych,Brak danych
Project Manager,Wrocław,Nie,Brak danych,Brak danych
Scrum Master,"Gdańsk, +2 locations",Tak,12 600,19 300
Project Manager,Wrocław,Tak,15 000,18 000
Senior M365 Consultant,Gdańsk,Nie,18 000,24 000
Remote IT Senior Project Manager,Warszawa,Tak,16 800,18 480
Scrum Master,Kraków,Nie,Brak danych,Brak danych
Project Manager,Wrocław,Nie,Brak danych,Brak danych
Scrum Master,"Gdańsk, +2 locations",Tak,12 600,19 300
Project Manager,Wrocław,Tak,15 000,18 000
Senior M365 Consultant,Gdańsk,Nie,18 000,24 000
Remote IT Senior Project Manager,Warszawa,Tak,16 800,18 480
Project Manager,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Senior Product Manager,Warszawa,Tak,19 000,23 000
Software Dev Tech Leader (new project),Wrocław,Nie,22 000,27 000
Agile Coach,Wrocław,Nie,Brak danych,Brak danych
Lead Product Manager,Warszawa,Tak,23 000,28 000
Digital Product Manager,"Wrocław, +1 location",Tak,Brak danych,Brak danych
IT Project Manager,Warszawa,Tak,16 800,21 840
Team Lead/Project Manager,Warszawa,Nie,Brak danych,Brak danych
IT Project Manager/ Product Owner,Warszawa,Tak,10 000,16 000
High Tech Semiconductor Senior Manager all levels,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Scrum Master,Kraków,Nie,11 000,16 000
Senior Project Manager,"Warszawa, +1 location",Tak,17 000,23 000
Senior Technology Manager,Kraków,Nie,22 000,28 000
Product Owner,Kraków,Tak,12 000,16 500
Scrum Master,Łódź,Tak,11 750,17 250
Product Manager,Warszawa,Tak,8 400,14 700
Product Owner,Warszawa,Tak,22 000,25 200
Senior Product Manager,Warszawa,Tak,14 700,22 050
Software Engineering Manager (Marketing),Kraków,Nie,22 000,30 000
Scrum Master,Wrocław,Tak,16 800,21 840
Project Manager,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Software Engineering Manager (Customer Payments),"Kraków, +18 locations",Tak,22 000,30 000
Kierownik Projektów IT,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Service Delivery Manager,Łódź,Nie,Brak danych,Brak danych
IT Project Manager (fully remote),Kraków,Tak,10 000,14 000
Product Manager,Katowice,Tak,15 000,23 000
Scrum Master,Kraków,Tak,23 520,26 040
Product Manager – aplikacja mobilna/web,Warszawa,Nie,Brak danych,Brak danych
Scrum Master,Katowice,Nie,9 000,14 000
Junior Project Manager,Gdańsk,Nie,4 700,6 700
Project Manager,Gdańsk,Nie,Brak danych,Brak danych
Junior Scrum Master,Warszawa,Nie,Brak danych,Brak danych
