nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Ruby On Rails Developer,"Warszawa, +2 locations",Tak,17 570,24 160
Ruby on Rails Developer,"Warszawa, +2 locations",Tak,13 000,18 000
Junior Solutions Engineer (Entry-Level),Wrocław,Nie,4 500,5 000
Junior Ruby on Rails Developer,Gdańsk,Tak,3 500,5 500
Ruby on Rails Developer Intern,Łódź,Nie,,
Ruby on Rails Software Engineer (Mid),Warszawa,Tak,17 570,28 990
Senior Ruby on Rails Developer,Warszawa,Tak,26 880,33 600
Ruby on Rails Developer,"Łódź, +2 locations",Tak,8 000,15 000
Junior RoR Developer,Łódź,Nie,4 200,8 000
Ruby on Rails Engineer (+Elixir),Warszawa,Tak,13 000,18 000
Backend Developer (start in Elixir),Poznań,Tak,13 000,25 000
(Senior) Full-Stack Software Engineer,"Warszawa, +5 locations",Tak,30 190,46 450
(Senior) Ruby on Rails Engineer,"Warszawa, +5 locations",Tak,30 190,46 450
Ruby Developer,Warszawa,Tak,19 000,25 000
Middle Ruby Engineer,"Kraków, +2 locations",Tak,16 000,24 000
Backend Ruby Engineer,"Warszawa, +4 locations",Tak,23 230,30 190
Ruby on Rails Team Leader,Kraków,Tak,30 000,35 000
Ruby Software Engineer,"Gdańsk, +2 locations",Tak,16 000,27 000
Senior Ruby on Rails Developer,"Wrocław, +2 locations",Tak,16 000,28 000
JavaScript / Ruby Engineer,Warszawa,Nie,15 000,22 500
Ruby Developer,"Gdańsk, +2 locations",Tak,12 600,20 160
Passionate Mid Ruby Developer,"Wrocław, +2 locations",Tak,14 000,18 000
Ruby Developer,"Kraków, +2 locations",Tak,15 000,23 000
Ruby on Rails Developer,"Warszawa, +2 locations",Tak,11 000,20 000
Ruby on Rails Software Engineer - Remote,Denver,Tak,17 570,28 990
Ruby on Rails Software Engineer,Wrocław,Tak,17 570,28 990
Regular Ruby on Rails Developer,"Madryt, +2 locations",Tak,25 000,34 000
Backend developer - Ruby on Rails,"Rzeszów, +18 locations",Tak,9 000,10 500
Mid/Senior Ruby-on-Rails Developer (RnD),"Poznań, +1 location",Tak,Brak danych,Brak danych
Senior Ruby on Rails Engineer - remote,"Kraków, +1 location",Tak,26 350,40 410
Senior Ruby on Rails Engineer,San Diego,Tak,26 350,40 410
Mid Ruby on Rails Developer,"Kraków, +2 locations",Tak,13 940,20 900
Senior Ruby on Rails Developer,"Wrocław, +2 locations",Tak,20 900,32 520
Senior Ruby Engineer,Kraków,Tak,30 000,38 000
Ruby Engineer,Kraków,Tak,20 000,28 000
Ruby on Rails Developer,"Wrocław, +18 locations",Tak,10 000,16 000
Senior Ruby Dev ~ min. 4 years of exp.,"Warszawa, +2 locations",Tak,28 800,40 000
FullStack Ruby Developer Internship,Kraków,Tak,,
Junior Ruby on Rails Developer,Kraków,Nie,5 000,9 000
