nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Java to Scala/Scala Developer,Kraków,Nie,15 600,18 000
Data Scientist + Software Engineer,Warszawa,Tak,29 000,46 000
Scala / Java Developer,"Warszawa, +2 locations",Tak,14 000,17 000
Senior FullStack Developer,"Sztokholm, +1 location",Tak,34 000,37 000
Scala Developer,Gdańsk,Tak,18 000,23 000
Senior Scala Engineer,Warszawa,Nie,25 800,36 400
Scala Engineer,"Kraków, +2 locations",Tak,15 000,22 000
Senior Scala Engineer,"Kraków, +2 locations",Tak,21 000,27 000
Scala Developer,"Kraków, +1 location",Tak,25 000,33 000
Backend Developer,Kraków,Tak,15 000,25 000
"Big Data Engineer (Scala, Spark + AWS)",Wrocław,Tak,Brak danych,Brak danych
Senior Scala Developer,"Wrocław, +18 locations",Tak,20 000,30 000
Backend Developer (Scala),"Kraków, +2 locations",Tak,11 000,22 000
Data Engineer (Data Scientist),Warszawa,Tak,Brak danych,Brak danych
Senior Scala Developer,Kraków,Tak,19 000,29 000
Mid Scala Developer,Warszawa,Tak,12 000,18 000
Scala Developer,Warszawa,Nie,10 900,19 000
Scala Engineer,Katowice,Nie,25 000,37 000
Software Engineer (Scala),Warszawa,Nie,18 000,21 000
Backend Software Engineer,Lisboa,Tak,18 190,24 000
Back-end/Data Software Engineer,Kraków,Nie,20 000,31 000
