zarobki_min,zarobki_max,nazwa,miasto,zdalnie
Brak danych,Brak danych,Hardware System Test Engineer,Nie podano,Tak
Brak danych,Brak danych,Junior PHP/JS Developer - Tech Support,Warszawa,Nie
Brak danych,Brak danych,Data Science Advisor - Data Scientist,Warszawa,Nie
Brak danych,Brak danych,AI Camera Pipeline Developer in Artificial Intelligence Team,Warszawa,Nie
Brak danych,Brak danych,Enterprise monitoring administrator,Wrocław,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
Brak danych,Brak danych,Technical Support Engineer,Warszawa,Nie
13000,15000,React Developer,Nie podano,Tak
Brak danych,Brak danych,Senior Software Engineer,Gdańsk,Nie
Brak danych,Brak danych,Inżynier Wsparcia Usług Mobilnych,Warszawa,Tak
Brak danych,Brak danych,CIB Treasury - Senior Associate - Liquidity Controller,Warszawa,Nie
Brak danych,Brak danych,Test Engineer,Gdańsk,Nie
Brak danych,Brak danych,Data analyst,Nie podano,Nie
Brak danych,Brak danych,Senior Natural Language Processing Engineer in Artificial Intelligence Team,Warszawa,Nie
Brak danych,Brak danych,Python Developer - Data Mining,Nie podano,Tak
80,120godz,Trener Programowania dla dzieci i młodzieży,Nie podano,Nie
Brak danych,Brak danych,Tester Oprogramowania,Gdynia,Nie
Brak danych,Brak danych,R&D Quality Engineer,Kraków,Tak
9000,15000,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie
Brak danych,Brak danych,Senior Developer DB/Java,Wrocław,Tak
22000,22000,Front-End developer JS / Angular,Wrocław,Tak
Brak danych,Brak danych,Technology Specialist - Analytics Cloud Security,Kraków,Nie
8000,15500,Web Analyst,Warszawa,Nie
Brak danych,Brak danych,Senior Data Scientist,Nie podano,Tak
Brak danych,Brak danych,Senior AI Risk Consultant,Nie podano,Tak
Brak danych,Brak danych,Senior Data Engineer,Nie podano,Tak
Brak danych,Brak danych,Assistant Vice President - Data Analytics,Kraków,Nie
Brak danych,Brak danych,Mobile Developer (Wealth & Personal Banking IT),Kraków,Nie
Brak danych,Brak danych,Technology Platform Product Manager (Wealth & Personal Banking IT),Kraków,Nie
Brak danych,Brak danych,Automation Engineer (Wholesale IT),Kraków,Nie
Brak danych,Brak danych,Fullstack Web Developer,Warszawa,Nie
Brak danych,Brak danych,Lead Cloud Systems Security Engineer,Kraków,Nie
Brak danych,Brak danych,Core Networking Engineering Team Subject Matter Expert – Telecom Services (ITID Telco),Kraków,Nie
Brak danych,Brak danych,Finance Data Operations Specialist,Warszawa,Nie
Brak danych,Brak danych,Process Data Consultant/Analyst for Energy Industry (CN),Nie podano,Tak
Brak danych,Brak danych,Front-End Developer in Visual Display Team,Warszawa,Nie
Brak danych,Brak danych,Technology Specialist - CDO (vulnerability management analyst),Kraków,Nie
Brak danych,Brak danych,Młodszy Programista Testów,Tczew,Nie
15000,17000,Business Analyst with BI/Tableau,Kraków,Tak
Brak danych,Brak danych,GCP DevOps Engineer (Compliance IT),Kraków,Nie
Brak danych,Brak danych,Test Automation Engineer,Wrocław,Tak
Brak danych,Brak danych,Software Test Engineer,Wrocław,Tak
Brak danych,Brak danych,Senior Python Developer,Nie podano,Tak
Brak danych,Brak danych,Senior DevOps Engineer,Nie podano,Tak
Brak danych,Brak danych,Senior C++ Developer,Nie podano,Tak
Brak danych,Brak danych,Senior C/C++ Embedded Developer,Nie podano,Tak
Brak danych,Brak danych,Python Developer,Nie podano,Tak
Brak danych,Brak danych,Junior Software Test Engineer,Nie podano,Tak
Brak danych,Brak danych,Junior C++ Developer,Nie podano,Tak
Brak danych,Brak danych,DevOps Engineer,Nie podano,Tak
Brak danych,Brak danych,C++ Developer,Nie podano,Tak
Brak danych,Brak danych,C/C++ Embedded Developer,Nie podano,Tak
Brak danych,Brak danych,C Embedded Engineer,Nie podano,Nie
Brak danych,Brak danych,Linux Administrator (regular),Poznań,Tak
Brak danych,Brak danych,Linux Scripting Engineer,Nie podano,Tak
Brak danych,Brak danych,Internship Programme (Performance Testing) July 2022,Kraków,Tak
Brak danych,Brak danych,"Market Data Expert, Officer",Nie podano,Nie
Brak danych,Brak danych,Security Engineer - Android Vulnerability Researcher,Warszawa,Nie
Brak danych,Brak danych,C++ Developer,Gdańsk,Tak
Brak danych,Brak danych,Software Quality Engineer,Kraków,Tak
Brak danych,Brak danych,High Tech Consultant – Project Management with Data Analysis (CN),Nie podano,Nie
Brak danych,Brak danych,Praktyki w zespole Data Engineering,Nie podano,Tak
Brak danych,Brak danych,Praktyki w Obszarze Integracji Systemów (Mulesoft),Nie podano,Tak
20160,28560,Machine Learning Engineer (EU Candidates),Nie podano,Tak
Brak danych,Brak danych,Machine Learning Engineer (EU Candidates),Nie podano,Tak
20160,28560,Machine Learning Engineer (EU Candidates),Nie podano,Tak
Brak danych,Brak danych,Junior Data Analyst with Python,Warszawa,Nie
Brak danych,Brak danych,Senior Python Developer,Nie podano,Nie
Brak danych,Brak danych,Automation Analyst,Katowice,Tak
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie
Brak danych,Brak danych,Java Developer,Warszawa,Nie
Brak danych,Brak danych,Tester Automatyzujący,Warszawa,Nie
Brak danych,Brak danych,"Technical Leader, Development",Nie podano,Tak
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie
Brak danych,Brak danych,Java Developer,Warszawa,Nie
Brak danych,Brak danych,Tester Automatyzujący,Warszawa,Nie
Brak danych,Brak danych,"Technical Leader, Development",Nie podano,Tak
6000,12600,Junior Java Developer,Gdańsk,Tak
Brak danych,Brak danych,Working Student - Laboratory support,Kraków,Nie
Brak danych,Brak danych,Senior Python/GO Software Engineer,Nie podano,Tak
10000,20000,"Software Developer - C++, Qt",Nie podano,Tak
Brak danych,Brak danych,Senior Python/GO Software Engineer,Nie podano,Tak
10000,20000,"Software Developer - C++, Qt",Nie podano,Tak
Brak danych,Brak danych,Intelligent Automation and Data Analytics - Associate,Warszawa,Nie
Brak danych,Brak danych,Automation Developer – Senior Associate,Warszawa,Nie
Brak danych,Brak danych,Data Analyst (Financial Crime Prevention),Warszawa,Nie
9000,12000,QA Engineer (m/f/d),Katowice,Tak
Brak danych,Brak danych,DevOps Engineer,Kraków,Nie
Brak danych,Brak danych,Senior Java developer,Kraków,Tak
Brak danych,Brak danych,Senior QA Automation Engineer,Wrocław,Tak
Brak danych,Brak danych,Scala/Big Data Developer,Kraków,Tak
Brak danych,Brak danych,Backend Software Engineer,Kraków,Tak
Brak danych,Brak danych,Senior Test Automation Developer (Python/C++),Kraków,Tak
Brak danych,Brak danych,Senior Manager – Core PC (GFOC),Kraków,Nie
Brak danych,Brak danych,Mobile and Mac Security Engineer,Kraków,Nie
Brak danych,Brak danych,Lead AVP - Compliance Analytics,Kraków,Nie
Brak danych,Brak danych,Data Scientist (Financial Crime Prevention),Warszawa,Nie
Brak danych,Brak danych,R&D Scientist in User Experience for Industrial AI and Autonomous Systems,Kraków,Nie
Brak danych,Brak danych,R&D Scientist in Software Design for Machine Learning,Kraków,Nie
Brak danych,Brak danych,R&D Scientist in Applied AI / ML,Kraków,Nie
