,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
1,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
2,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
3,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
4,Embedded C Developer,Nie podano,Tak,10 000,15 000
5,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
6,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
7,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
8,Embedded C Developer,Nie podano,Tak,8 000,14 000
9,Embedded C Developer,Nie podano,Tak,8 000,14 000
10,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
11,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
12,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
13,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
14,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
15,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
16,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
17,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
18,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
19,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
20,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
21,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
22,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
23,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
24,Embedded C Developer,Nie podano,Tak,10 000,15 000
25,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
26,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
27,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
28,Embedded C Developer,Nie podano,Tak,8 000,14 000
29,Embedded C Developer,Nie podano,Tak,8 000,14 000
30,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
31,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
32,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
33,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
34,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
35,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
36,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
37,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
38,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
39,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
40,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
