,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,Java Backend Developer,Nie podano,Tak,13 000,17 700
1,Senior Java Developer,Nie podano,Tak,19 000,25 400
2,Cloud Software Developer (Intelligent Selling Services),Nie podano,Tak,13 000,17 700
3,Senior Software Engineer,Nie podano,Tak,7 200,14 500
4,Cloud Developer Fullstack (SAP BTP),Nie podano,Tak,14 500,17 500
5,Lead Developer/Architect,Nie podano,Tak,20 000,25 000
6,Senior Java Developer,Nie podano,Tak,18 000,25 000
7,Java Tech Lead,Nie podano,Tak,25 000,32 000
8,Cloud Developer Fullstack (SAP BTP),"Białystok, Gdańsk, Kraków, Poznań, Wrocław",Tak,14 500,17 500
9,Java Developer (Mid/Senior),Nie podano,Tak,Brak danych,Brak danych
10,Tester Automatyzujący Java,Nie podano,Tak,14 000,20 800
11,Senior Software Engineer,"Białystok, Kielce, Łódź, Zielona Góra",Nie,7 200,14 500
12,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
13,Senior Java Developer,"Kraków, Wrocław",Nie,19 000,25 400
14,Senior Developer Java,Nie podano,Tak,Brak danych,Brak danych
15,Senior Java Software Developer,Nie podano,Tak,Brak danych,Brak danych
16,Senior Java Developer,"Kraków, Wrocław",Nie,19 000,25 400
17,Senior Java Developer,Nie podano,Tak,20 100,23 500
18,Senior Java Developer,"Katowice, Warszawa",Tak,19 000,25 400
19,Senior Java Developer,"Katowice, Warszawa",Tak,19 000,25 400
20,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
21,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
22,Java Development,Nie podano,Tak,Brak danych,Brak danych
23,Senior Java Developer,"Kraków, Wrocław",Nie,19 000,25 400
24,Java developer,Nie podano,Tak,Brak danych,Brak danych
25,Senior Java developer,Nie podano,Tak,Brak danych,Brak danych
26,Senior Java Developer,"Kraków, Wrocław",Nie,19 000,25 400
27,Junior Java Developer,Nie podano,Tak,Brak danych,Brak danych
28,Strong Regular Java Developer,Nie podano,Tak,Brak danych,Brak danych
29,Senior Java/SQL Developer,Nie podano,Tak,Brak danych,Brak danych
30,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
31,Java Developer,Nie podano,Nie,Brak danych,Brak danych
32,Full-Stack Developer,Nie podano,Nie,Brak danych,Brak danych
33,Calypso Developer,Nie podano,Tak,Brak danych,Brak danych
34,Regular/Senior Java Software Developer,Nie podano,Tak,Brak danych,Brak danych
35,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
36,Full stack java developer,Nie podano,Tak,Brak danych,Brak danych
37,Technical Lead with Java,Nie podano,Tak,Brak danych,Brak danych
38,Backend Java/SQL Developer,Nie podano,Tak,14 000,20 000
39,Junior Test Automation Engineer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Poznań, Rzeszów, Warszawa, Wrocław",Tak,11 800,15 100
40,Cloud Developer Fullstack (SAP BTP),"Katowice, Kielce, Kraków, Lublin, Warszawa",Tak,14 500,17 500
41,Senior Java Developer,"Katowice, Warszawa",Nie,19 000,25 400
42,Java Developer,Nie podano,Nie,Brak danych,Brak danych
43,Tester Automatyzujący Java,"Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Poznań, Warszawa, Wrocław",Tak,14 000,20 800
44,Java Developer for beOne,Nie podano,Tak,Brak danych,Brak danych
45,Java Developer (Mid/Senior),"Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Poznań, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
46,Senior Java Developer,"Bydgoszcz, Warszawa",Tak,19 000,25 400
47,Android Engineer (Java/Kotlin),Nie podano,Tak,Brak danych,Brak danych
48,Senior Software Engineer,"Katowice, Kraków, Łódź, Warszawa",Tak,7 200,14 500
49,Senior Software Engineer,"Katowice, Kraków, Łódź, Warszawa",Tak,7 200,14 500
50,Java Backend Developer (Senior),Nie podano,Tak,20 100,29 400
