,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,Senior Machine Learning Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Piła, Poznań, Rzeszów, Warszawa, Wrocław",Tak,23 900,28 700
1,Python Developer,"Białystok, Gdańsk, Kraków, Poznań, Wrocław",Tak,Brak danych,Brak danych
2,Python Test Development Engineer – Data Science project,"Kraków, Warszawa",Tak,18 000,24 000
3,Python Test Development Engineer – Data Science project,"Katowice, Łódź",Tak,18 000,24 000
4,Python Test Development Engineer – Data Science project,"Katowice, Łódź",Tak,18 000,24 000
5,Python Test Development Engineer – Data Science project,"Kraków, Warszawa",Tak,18 000,24 000
6,Python Developer,"Gdańsk, Katowice, Kraków, Lublin, Warszawa",Tak,Brak danych,Brak danych
7,Python Developer (backend with DevOps),Nie podano,Tak,Brak danych,Brak danych
8,Python Developer,Nie podano,Nie,Brak danych,Brak danych
9,Python Test Development Engineer – Data Science project,"Katowice, Warszawa",Nie,18 000,24 000
10,RPA (Robotics Process Automation) DevOps Engineer,Nie podano,Nie,Brak danych,Brak danych
11,Senior Python Developer,Nie podano,Tak,19 700,23 700
12,Senior Machine Learning Developer,Nie podano,Tak,23 900,28 700
13,Machine Learning Developer,Nie podano,Tak,13 600,16 100
14,Senior Machine Learning Developer,Nie podano,Tak,19 700,23 700
15,DevOps Engineer AI/ML,Nie podano,Tak,Brak danych,Brak danych
16,Python Developer,"Gdańsk, Katowice, Kraków, Lublin, Warszawa",Tak,Brak danych,Brak danych
17,Python Data Developer (Django),Nie podano,Tak,13 000,20 000
18,Python Developer,Nie podano,Tak,20 800,28 000
19,Backend Python Developer,Nie podano,Tak,13 600,16 100
20,Senior SRE Developer,Nie podano,Tak,23 900,28 700
21,Senior Backend Developer,Nie podano,Tak,19 700,23 700
22,Senior Python Backend Developer,Nie podano,Tak,19 700,23 700
23,Backend Python Developer,Nie podano,Tak,13 600,16 100
24,Senior Python Backend Developer,Nie podano,Tak,23 900,28 700
25,Python Backend Developer,Nie podano,Tak,13 600,16 100
26,"Senior System Integration Test Engineer, (Oscilloquartz)",Nie podano,Tak,12 000,18 000
27,Python Test Development Engineer – Data Science project,"Poznań, Wrocław",Tak,18 000,24 000
28,Regular/Senior Front-end Developer with Python,Nie podano,Tak,Brak danych,Brak danych
29,Python Software Developer,Nie podano,Tak,Brak danych,Brak danych
30,Team Lead/Senior Developer Python SDK,Nie podano,Tak,Brak danych,Brak danych
31,Python Test Development Engineer – Data Science project,"Krakow, Wrocław",Nie,18 000,24 000
32,Senior Big Data Developer with Python,Nie podano,Tak,Brak danych,Brak danych
33,PySpark Data Developer,Nie podano,Tak,13 000,20 000
34,Junior IT Systems Administrator,Nie podano,Tak,8 000,11 000
35,R&D Python Test Automation Engineer,Nie podano,Tak,11 000,17 000
36,Senior R&D Quality Engineer,Nie podano,Tak,14 000,17 000
37,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
38,Backend Developer,Nie podano,Tak,9 100,17 000
39,Python Tester,Nie podano,Tak,8 000,14 000
40,Fullstack Python Developer,Nie podano,Tak,11 000,18 000
41,QA Engineer,Nie podano,Tak,8 000,14 000
42,QA Engineer,Nie podano,Tak,8 000,14 000
43,QA Engineer (Robot Framework),Nie podano,Tak,8 000,14 000
44,R&D Quality Engineer,Nie podano,Tak,12 000,16 000
45,Data Analyst (Specialist/Senior Specialist) in Model Validation Squad,Nie podano,Nie,Brak danych,Brak danych
46,Business Analyst in Data Delivery for Monitoring and Validation Squad,Nie podano,Nie,Brak danych,Brak danych
47,Python Test Development Engineer – Data Science project,"Katowice, Warszawa",Nie,18 000,24 000
48,Python Test Development Engineer – Data Science project,"Katowice, Warszawa",Nie,18 000,24 000
49,Python Test Development Engineer – Data Science project,"Katowice, Warszawa",Nie,18 000,24 000
50,Public Cloud engineer,Nie podano,Nie,Brak danych,Brak danych
51,"Junior Data Engineer with Python (Communication, Media & Technology)",Nie podano,Tak,Brak danych,Brak danych
52,Senior Developer Python,Nie podano,Tak,Brak danych,Brak danych
53,Data Engineer with Python,Nie podano,Tak,Brak danych,Brak danych
54,Python Developer,Nie podano,Tak,Brak danych,Brak danych
55,Senior Python Developer,Nie podano,Tak,Brak danych,Brak danych
56,Senior Python Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Katowice, Kraków, Łódź, Lublin, Piła, Poznań, Rzeszów, Warszawa, Wrocław",Tak,19 700,23 700
57,Python Test Development Engineer – Data Science project,"Kraków, Zabierzów",Tak,18 000,24 000
58,Data Scientist,Nie podano,Tak,Brak danych,Brak danych
59,SaaS Infrastructure Support Analyst,Nie podano,Tak,Brak danych,Brak danych
60,Senior Data Scientist,Nie podano,Nie,Brak danych,Brak danych
61,Python Test Development Engineer – Data Science project,"Kraków, Warszawa",Tak,18 000,24 000
62,Senior Data Scientist,Nie podano,Tak,Brak danych,Brak danych
63,Python Developer (Telework),Nie podano,Tak,Brak danych,Brak danych
64,Python Web Developer,Nie podano,Tak,6 700,15 000
65,Quality Assurance Engineer,Nie podano,Tak,8 000,14 000
66,Senior R&D Quality Engineer,Nie podano,Tak,14 000,17 000
67,Chapter Lead with Python,Nie podano,Tak,Brak danych,Brak danych
68,Python Developer Commerzbank,Nie podano,Tak,Brak danych,Brak danych
69,Senior Data Engineer (Python),Nie podano,Tak,Brak danych,Brak danych
70,Python Test Development Engineer – Data Science project,"Katowice, Warszawa",Nie,18 000,24 000
71,R&D Quality Engineer,Nie podano,Tak,12 000,16 000
72,Python Developer,Nie podano,Tak,11 000,18 000
73,Intern – Risk Quant / Data Engineer,Nie podano,Nie,Brak danych,Brak danych
74,Model Developer - Interest Rates & Balance Sheet Junior Specialist,Nie podano,Nie,Brak danych,Brak danych
75,Model Developer - Interest Rates & Balance Sheet Senior Specialist,Nie podano,Nie,Brak danych,Brak danych
76,Python Developer,Nie podano,Tak,12 000,23 000
77,Python Senior Developer,Nie podano,Tak,12 000,20 000
78,Test Engineer in Python,Nie podano,Tak,9 000,17 000
79,Regular/Senior Python QA Automation,Nie podano,Tak,Brak danych,Brak danych
80,Python Test Development Engineer – Data Science project,"Katowice, Warszawa",Nie,18 000,24 000
81,Python Developer,Nie podano,Tak,Brak danych,Brak danych
82,Asseco Starter - Tester Automatyzujący,Nie podano,Tak,Brak danych,Brak danych
83,Asseco Starter - Tester Automatyzujący,Nie podano,Tak,Brak danych,Brak danych
84,Python Software Architect,Nie podano,Tak,20 900,27 000
85,Senior Python Developer,Nie podano,Tak,13 400,25 000
86,Senior Python Developer,Nie podano,Tak,13 400,25 000
87,Data Engineer,Nie podano,Tak,10 000,18 000
88,(Senior) Python Developer,Nie podano,Tak,Brak danych,Brak danych
89,Senior Python Developer,Nie podano,Tak,Brak danych,Brak danych
90,Python Developer,"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,Brak danych,Brak danych
91,Data Engineer,Nie podano,Tak,Brak danych,Brak danych
92,Python Test Development Engineer – Data Science project,"Poznań, Wrocław",Tak,18 000,24 000
93,Junior Cloud Data Engineer (Akademia Cloud Data Engineer),Nie podano,Tak,4 000,7 000
94,UTF Security Specialist,Nie podano,Tak,Brak danych,Brak danych
95,QA / Test Engineer - Python,Nie podano,Tak,9 500,19 000
