,zarobki_min,zarobki_max,nazwa,miasto,zdalnie,zarobki_srednie
9,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
26,8000.0,28056.0,React Frontend Developer,Gdańsk,Tak,18028.0
32,8000.0,21000.0,Java/Kotlin Developer,Gdańsk,Tak,14500.0
40,9000.0,15000.0,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie,12000.0
42,22000.0,22000.0,Front-End developer JS / Angular,Wrocław,Tak,22000.0
53,22000.0,27000.0,Technical Lead with Java,Kraków,Tak,24500.0
55,18000.0,22000.0,Java Software Developer,Kraków,Tak,20000.0
56,15000.0,17000.0,Business Analyst with BI/Tableau,Kraków,Tak,16000.0
58,15000.0,20000.0,Team Lead / Scrum Master with technical background,Kraków,Tak,17500.0
59,12000.0,17000.0,Senior Angular Developer,Wrocław,Tak,14500.0
80,6000.0,9700.0,Junior Java Developer,Wrocław,Nie,7850.0
97,10000.0,16000.0,Node.js Developer,Warszawa,Tak,13000.0
104,15000.0,23000.0,Senior Front-end Developer,Warszawa,Tak,19000.0
142,6000.0,12600.0,Junior Java Developer,Gdańsk,Tak,9300.0
143,8000.0,21000.0,Java Developer (Spring),Gdańsk,Tak,14500.0
144,8000.0,21000.0,Java Developer,Gdańsk,Tak,14500.0
152,8000.0,21000.0,Java/C++ Developer,Gdańsk,Tak,14500.0
154,9000.0,12000.0,QA Engineer (m/f/d),Katowice,Tak,10500.0
155,21000.0,28500.0,Senior React Native Developer,Kraków,Tak,24750.0
161,20000.0,25000.0,Senior Java Developer,Wrocław,Tak,22500.0
166,12000.0,27000.0,Java Developer,Warszawa,Nie,19500.0
169,6000.0,12600.0,Junior Backend Developer (DDL),Gdańsk,Nie,9300.0
170,5000.0,7000.0,Menadżer ds. Technicznej Obsługi Klienta / Technical Account Manager,Warszawa,Nie,6000.0
173,8000.0,28056.0,Java and Reactive Programming,Gdańsk,Tak,18028.0
187,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
204,8000.0,28056.0,React Frontend Developer,Gdańsk,Tak,18028.0
210,8000.0,21000.0,Java/Kotlin Developer,Gdańsk,Tak,14500.0
218,9000.0,15000.0,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie,12000.0
220,22000.0,22000.0,Front-End developer JS / Angular,Wrocław,Tak,22000.0
231,22000.0,27000.0,Technical Lead with Java,Kraków,Tak,24500.0
233,18000.0,22000.0,Java Software Developer,Kraków,Tak,20000.0
234,15000.0,17000.0,Business Analyst with BI/Tableau,Kraków,Tak,16000.0
236,15000.0,20000.0,Team Lead / Scrum Master with technical background,Kraków,Tak,17500.0
237,12000.0,17000.0,Senior Angular Developer,Wrocław,Tak,14500.0
258,6000.0,9700.0,Junior Java Developer,Wrocław,Nie,7850.0
275,10000.0,16000.0,Node.js Developer,Warszawa,Tak,13000.0
282,15000.0,23000.0,Senior Front-end Developer,Warszawa,Tak,19000.0
320,6000.0,12600.0,Junior Java Developer,Gdańsk,Tak,9300.0
321,8000.0,21000.0,Java Developer (Spring),Gdańsk,Tak,14500.0
322,8000.0,21000.0,Java Developer,Gdańsk,Tak,14500.0
330,8000.0,21000.0,Java/C++ Developer,Gdańsk,Tak,14500.0
332,9000.0,12000.0,QA Engineer (m/f/d),Katowice,Tak,10500.0
333,21000.0,28500.0,Senior React Native Developer,Kraków,Tak,24750.0
339,20000.0,25000.0,Senior Java Developer,Wrocław,Tak,22500.0
344,12000.0,27000.0,Java Developer,Warszawa,Nie,19500.0
347,6000.0,12600.0,Junior Backend Developer (DDL),Gdańsk,Nie,9300.0
348,5000.0,7000.0,Menadżer ds. Technicznej Obsługi Klienta / Technical Account Manager,Warszawa,Nie,6000.0
351,8000.0,28056.0,Java and Reactive Programming,Gdańsk,Tak,18028.0
365,9100.0,15100.0,Node.js Developer,Kraków,Tak,12100.0
368,9100.0,14300.0,Android Developer,Kraków,Tak,11700.0
369,10000.0,20000.0,Android Developer,Warszawa,Nie,15000.0
371,14000.0,19000.0,Full-Stack Developer (.NET / C#),Kraków,Tak,16500.0
375,7000.0,16500.0,QA Automation Engineer,Kraków,Tak,11750.0
378,15000.0,22500.0,Senior Data Scientist - Ekspert ds. modelowania danych,Warszawa,Tak,18750.0
427,13800.0,21000.0,Senior Front-end Developer,Kraków,Tak,17400.0
428,10800.0,16800.0,React Native Developer,Kraków,Tak,13800.0
434,6000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8000.0
440,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
441,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
442,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
443,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
445,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
448,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
449,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
450,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
451,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
453,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
456,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
457,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
458,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
459,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
461,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
464,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
465,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
466,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
467,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
469,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
472,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
473,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
