name,salary
Afghanistan,10599.4
Aland Islands,46866.0
Albania,10382.0
Algeria,14860.8
American Samoa,18800
Andorra,49434.0
Angola,7371.0
Anguilla,7474.0
Antigua and Barbuda,20128.0
Argentina,4493.44
Armenia,21575.4
Aruba,15260.7
Australia,65664.0
Austria,48792.0
Azerbaijan,20945.0
Bahamas,46900.0
Bahrain,47348.0
Bangladesh,3391.2000000000003
Barbados,19600.0
Belarus,12072.6
Belgium,79287.0
Belize,23600.0
Benin,6683.0
Bermuda,19200.0
Bhutan,5792.1
Bolivia,15037.999999999998
Bosnia and Herzegovina,15179.6
Botswana,11857.0
Brazil,21115.0
British Indian Ocean Territory,32300
Brunei,28134.899999999998
Bulgaria,21810.4
Burkina Faso,6503.7
Burundi,6992.7
Cambodia,9855.3
Cameroon,9030.199999999999
Canada,95640.0
Cape Verde,23911.199999999997
Cayman Islands,46920.0
Central African Republic,8492.3
Chad,9568.1
Chile,27225.0
China,52950.0
Christmas Island,65952.0
Cocos (Keeling) Islands,52848.0
Colombia,14972.5
Comoros,7935.200000000001
Congo,14637.4
Congo Democratic Republic,2871.4399999999996
Cook Islands,36571.5
Costa Rica,41895.0
Cote Divoire,6617.8
Croatia,25417.999999999996
Cuba,11008.800000000001
Cyprus,27927.0
Czech Republic,31855.600000000002
Denmark,70560.0
Djibouti,18691.6
Dominica,6660.0
Dominican Republic,4349.8
East Timor,26600
Ecuador,16400
Egypt,5949.6
El Salvador,20500
Equatorial Guinea,9388.8
Eritrea,5496.08
Estonia,35310.0
Ethiopia,2065.1
Falkland Islands (Malvinas),23500.0
Faroe Islands,46368.0
Fiji,26865.600000000002
Finland,60455.0
France,53286.0
French Guiana,40339.0
French Polynesia,15715.0
French Southern Territories,36166.0
Gabon,10855.8
Gambia,3552.0
Georgia,27560.7
Germany,49113.0
Ghana,7637.5
Gibraltar,51000.0
Greece,31351.000000000004
Greenland,48959.99999999999
Grenada,27935.0
Guadeloupe,54035.0
Guam,16800
Guatemala,16380.0
Guernsey,115750.0
Guinea,9525.9
Guinea-Bissau,6699.3
Guyana,10106.9
Haiti,7292.400000000001
Heard Island and McDonald Islands,31680.0
Honduras,13831.2
Hong Kong,56007.0
Hungary,16216.199999999999
Iceland,63921.600000000006
India,4966.5
Indonesia,10074.0
Iran,12960.0
Iraq,16968.9
Ireland,41302.0
Italy,47080.0
Jamaica,7563.2
Japan,46252.0
Jersey,77625.0
Jordan,27354.0
Kazakhstan,10764.6
Kenya,15098.099999999999
Kiribati,33624.0
Korea (North),2600
Korea (South),37299.6
Kuwait,50768.0
Kyrgyzstan,2937.5
Laos,3616.8
Latvia,25684
Lebanon,18232.5
Lesotho,9221.4
Liberia,5709.0
Libya,5796.0
Liechtenstein,65280.0
Lithuania,13343
Luxembourg,63344.00000000001
Macao,11147.6
Macedonia,9639.599999999999
Madagascar,3950.0
Malawi,1932.48
Malaysia,18103.2
Maldives,14896
Mali,6487.4
Malta,59599.0
Marshall Islands,27200
Martinique,38841.0
Mauritania,672
Mauritius,12824.0
Mayotte,33384.0
Mexico,20400.0
Micronesia,16900
Moldova,16884.6
Monaco,54677.0
Mongolia,7520.000000000001
Montenegro,34454.0
Montserrat,12099.0
Morocco,24102.0
Mozambique,7550.4
Myanmar,3568.64
Namibia,13734.0
Nauru,33120.0
Nepal,7832.65
Netherlands,62916.00000000001
Netherlands Antilles,29515.200000000004
New Caledonia,9518.8
New Zealand,63016.5
Nicaragua,6384.0
Niger,6650.4
Nigeria,9832.8
Niue,38506.5
Norfolk Island,50688.0
Northern Mariana Islands,23900
Norway,65190.0
Oman,55380.0
Pakistan,4895.45
Palau,32900
Palestine,20600
Panama,25500.0
Papua New Guinea,13958.999999999998
Paraguay,14454.0
Peru,24270.300000000003
Philippines,10149.3
Pitcairn,44247.0
Poland,21317.4
Portugal,35524.0
Puerto Rico,20200
Qatar,51975.00000000001
Reunion,26750.0
Romania,23436.0
Russia,20750.0
Rwanda,8023.08
Saint Barthelemy,37771.0
Saint Helena,17000.0
Saint Kitts and Nevis,15096.0
Saint Lucia,12580.0
Saint Martin,42265.0
Saint Pierre and Miquelon,43763.0
Saint Vincent and the Grenadines,15133.0
Samoa,11260.2
San Marino,58529.0
Sao Tome and Principe,4068
Saudi Arabia,53667.0
Senegal,6878.599999999999
Serbia,15446.6
Seychelles,18083.100000000002
Sierra Leone,5221.200000000001
Singapore,74154.0
Slovakia,28141.0
Slovenia,25466.0
Solomon Islands,9639.0
Somalia,5397.6
South Africa,24525.0
South Georgia and the South Sandwich Islands,47000.0
Spain,34989.0
Sri Lanka,3034.8
Sudan,989.9999999999999
Suriname,2859.7799999999997
Svalbard and Jan Mayen Islands,33390.0
Swaziland,3551.22
Sweden,55488.0
Switzerland,126480.0
Syria,712.4200000000001
Taiwan,53040.00000000001
Tajikistan,12138.0
Tanzania,6551.2
Thailand,33930.0
Togo,10350.5
Tokelau,46762.5
Tonga,9570.3
Trinidad and Tobago,17464.0
Tunisia,16155.300000000001
Turkey,5503.5199999999995
Turkmenistan,18018.0
Turks and Caicos Islands,17900
Tuvalu,45216.0
Uganda,8500.4
Ukraine,9418.0
United Arab Emirates,64192.00000000001
United Kingdom,89125.0
United States,95100
United States Minor Outlying Islands,25800
Uruguay,10004.4
Uzbekistan,1446.9
Vanautu,10436.3
Vatican City State,36059.0
Venezuela,308800.0
Vietnam,8944.0
Virgin Islands (British),22100
Virgin Islands (US),32500
Wallis and Futuna,7363.6
Western Sahara,12875.0
Yemen,1608.0099999999998
Zambia,4265
Zimbabwe,7184
