nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Administrator Systemów IT,Wrocław,Nie,10 000,16 000
Specjalista Administrator Systemów,Wrocław,Nie,Brak danych,Brak danych
Technical Applicaction Manager,Warszawa,Nie,12 600,16 800
Senior IT Administrator,Gdańsk,Nie,Brak danych,Brak danych
IT Support Engineer,"Bielany Wrocławskie, +18 locations",Nie,Brak danych,Brak danych
Junior Unix Engineer,Poznań,Tak,Brak danych,Brak danych
Senior Linux Engineer,Warszawa,Tak,16 700,19 700
Administrator serwerów i sieci,Warszawa,Tak,9 000,16 000
Administrator sieci/Informatyk,Bydgoszcz,Nie,Brak danych,Brak danych
Mid Linux Engineer,Warszawa,Tak,12 900,16 700
Linux Administrator with DevOps,Kraków,Tak,8 000,9 000
Network Engineer with Python,Gdynia,Nie,13 000,17 000
Remote Mid/Senior SQL Server Admin,"New York, +18 locations",Tak,15 000,23 000
IT Operator,Warszawa,Nie,5 000,8 000
IT Specialist,Wrocław,Nie,Brak danych,Brak danych
Senior System Administrator,Warszawa,Tak,14 500,19 000
Praktyki w zespole infrastruktury IT,Warszawa,Nie,,
Senior Network Engineer,"Bydgoszcz, +2 locations",Tak,Brak danych,Brak danych
Administrator Aplikacji,Katowice,Tak,16 000,21 000
Cloud Database Administrator,Warszawa,Tak,Brak danych,Brak danych
Junior IT Configuration Manager,Warszawa,Nie,9 240,12 600
Administrator Systemów IT,Poznań,Nie,6 000,10 000
Technical Service Engineer,Zielona Góra,Tak,5 000,10 000
Remote Service System Engineer,"Zielona Góra, +2 locations",Tak,5 000,10 000
Integration Engineer,"Zielona Góra, +2 locations",Tak,5 500,11 000
System & Applications Administrator,"Warszawa, +2 locations",Tak,8 000,11 000
Konsultant ds. wdrożeń enova365,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Database Administrator,"Kraków, +2 locations",Nie,Brak danych,Brak danych
Lead Network Security Expert,Warszawa,Nie,Brak danych,Brak danych
Linux Administrator,"Kraków, +2 locations",Nie,Brak danych,Brak danych
IT Administrator,Kraków,Nie,6 000,10 000
Informatyk,Poznań,Nie,Brak danych,Brak danych
IT Operations Specialist,Kraków,Nie,Brak danych,Brak danych
Administrator Sieci Internetowej,Zabrze,Nie,10 000,15 000
Senior Sys Ops,"Kraków, +18 locations",Tak,16 000,25 000
Linux System Administrator,Warszawa,Tak,8 300,12 500
Administrator IT (DevOps),Łódź,Nie,21 840,23 520
DBA Engineer,"Wrocław, +2 locations",Tak,14 000,17 000
ADMINISTRATOR SYSTEMÓW LINUX oraz SIECI,Wrocław,Nie,Brak danych,Brak danych
Database Administrator,Warszawa,Nie,12 000,16 000
Big Data Administrator,Warszawa,Tak,8 300,12 500
Junior IT Administrator,Poznań,Nie,6 000,8 000
