nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Go Lang Developer,תל אביב-יפו,Tak,8 780,13 180
Backend Developer,"Warszawa, +2 locations",Tak,18 580,27 870
"Back-end Engineer, Product Growth","Kraków, +2 locations",Tak,13 000,22 000
Backend Developer with Go,Wrocław,Tak,16 000,25 500
Backend Developer,Gdańsk,Nie,12 000,19 000
Software Engineer (with Golang),"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Go Developer,Kraków,Nie,Brak danych,Brak danych
Python/Go Software Engineer,Warszawa,Tak,15 000,30 000
Mid / Senior Golang Developer,Warszawa,Tak,14 000,25 000
Senior / Expert Golang Developer,Warszawa,Tak,24 000,30 000
Senior Golang Developer,"Warszawa, +1 location",Tak,17 000,22 000
Mid Software Engineer focus on Go,Warszawa,Tak,14 000,20 000
Software Engineer (Golang),Poznań,Tak,15 000,22 000
Senior Software Engineer,"London, +18 locations",Tak,32 940,47 520
Golang Engineer,Łódź,Nie,10 000,20 000
Go Developer,"Katowice, +2 locations",Tak,16 000,26 000
Middle/Senior Go Developer,Poznań,Tak,Brak danych,Brak danych
Senior Backend Software Engineer - GO,Bratislava,Tak,19 000,38 000
Senior Software Engineer - Backend,"Kraków, +2 locations",Tak,Brak danych,Brak danych
GoLang Developer,"Kraków, +2 locations",Tak,6 500,10 500
"Senior Developer, Golang",United States,Tak,Brak danych,Brak danych
Developer who likes to GO,Rybnik,Tak,14 000,20 000
Software Engineer Golang - (Contract),"Wrocław, +1 location",Tak,46 450,65 030
Junior/ Mid Golang Developer,"Poznań, +4 locations",Tak,Brak danych,Brak danych
Go Developer,"Kraków, +2 locations",Tak,18 000,24 000
Senior Backend Engineer (Golang/go),"Berlin, +2 locations",Tak,Brak danych,Brak danych
Backend Programmer,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Backend Software Engineer,"Kraków, +1 location",Tak,14 000,23 000
Golang Back End Developer,Londyn,Tak,19 350,23 230
Web Backend Developer (Go),Amsterdam,Tak,23 790,29 280
Golang Developer,Warszawa,Tak,22 000,30 000
Senior Golang Developer (Fully Remote),Wien,Tak,15 000,30 000
Lead Backend Developer / Go (Remote),Wien,Tak,15 000,30 000
Back End Engineer - Windows,Warszawa,Tak,22 500,45 000
Backend Developer (Go),Warszawa,Tak,18 000,24 000
Fullstack Developer (Go + React),Wrocław,Tak,17 000,23 500
Senior Golang Engineer,Warszawa,Tak,15 000,22 000
Golang Engineer (Remote),Warszawa,Tak,12 000,18 000
SOFTWARE DEVELOPER – GO (REMOTE),London,Tak,Brak danych,Brak danych
Software Developer,Kraków,Tak,17 570,26 350
Software Engineer focus on Go/ PHP,Warszawa,Tak,14 000,20 000
Backend Developer (Golang) (m/f/d),Berlin,Tak,Brak danych,Brak danych
Software Engineer,"Madrid, +1 location",Tak,15 330,18 580
Principal Software Engineer,Madrid,Tak,23 230,32 520
Senior Software Engineer - Golang,Nowy Jork,Tak,Brak danych,Brak danych
Software Engineer - Backend (golang),Barcelona,Tak,15 330,23 230
Senior Software Engineer,"San Francisco, +2 locations",Tak,45 750,60 390
Software Engineer,Sztokholm,Tak,Brak danych,Brak danych
Open Source Software Engineer - Intern,"Warszawa, +1 location",Nie,,
Senior Golang Developer,"Kraków, +1 location",Nie,20 000,28 000
Go Developer,Kraków,Tak,15 000,25 000
Golang Developer,Wrocław,Tak,Brak danych,Brak danych
Backend Engineer,Berlin,Tak,23 230,30 940
