nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Junior Shopify Developer,Rzeszów,Tak,4 000,7 000
PHP Wordpress Developer,Warszawa,Tak,10 000,16 000
Software Developer Grails and Groovy,Żabia Wola,Tak,Brak danych,Brak danych
Wordpress / Frontend Developer,"Wrocław, +1 location",Tak,7 000,11 000
SAP Commerce Cloud / Hybris Frontend Dev. for Samsung SDS,Warszawa,Tak,34 000,39 000
Senior Frontend Developer,Warsaw,Tak,Brak danych,Brak danych
Software Web Developer,Kraków,Nie,10 000,17 000
Salesforce Marketing Cloud Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
SAP Commerce Cloud / Hybris Frontend Dev. for Samsung SDS,Kraków,Tak,28 000,33 000
WordPress Developer,Kraków,Tak,12 000,20 000
Frontend Developer / Magento,Poznań,Tak,8 500,13 000
Web Content Specialist,Warszawa,Tak,Brak danych,Brak danych
Frontend Developer/Vue.js/Headless/PWA,"Poznań, +1 location",Tak,9 000,16 000
Wordpress Developer,Łódź,Nie,7 000,8 500
Frontend Developer,"Katowice, +2 locations",Tak,13 180,21 960
Frontend Developer,"Katowice, +2 locations",Tak,4 390,8 780
Frontend Developer (JS/HTML),Wrocław,Nie,Brak danych,Brak danych
Frontend Developer,"Katowice, +2 locations",Tak,8 780,13 180
Web Developer - Paid Internship,Kraków,Nie,Brak danych,Brak danych
Full Stack Developer - Web Developer,Grodzisk Mazowiecki,Nie,8 000,12 000
Remote Mid/Senior Wordpress Developer,"Lublin, +2 locations",Tak,12 300,15 000
Magento 2 Frontend Developer,"Rybnik, +1 location",Tak,8 500,16 500
Web Developer (HTML5),"Lublin, +2 locations",Tak,Brak danych,Brak danych
Web Implementation Specialist,"Wrocław, +2 locations",Tak,5 000,10 000
WordPress developer / Web developer (UA),Wrocław,Tak,6 000,10 000
Frontend Developer,Warszawa,Nie,7 300,12 000
Frontend Developer,"Warszawa, +1 location",Tak,4 500,8 000
Junior Front-End Developer,Gdańsk,Tak,4 750,9 500
Frontend Engineer,Nowy Jork,Tak,Brak danych,Brak danych
Full Stack Developer - Web Developer,Wrocław,Tak,10 000,12 000
Regular Frontend Developer (100% Remote),Wrocław,Tak,Brak danych,Brak danych
E-learning developer,"Wrocław, +1 location",Tak,5 000,6 500
Web Standards Engineer,San Jose,Tak,Brak danych,Brak danych
Software Engineer II- Full Stack,San Francisco,Tak,Brak danych,Brak danych
Software Engineer II,San Francisco,Tak,Brak danych,Brak danych
Software Engineer II-Front End,San Francisco,Tak,Brak danych,Brak danych
Senior Angular Developer,Warszawa,Nie,25 200,33 600
Junior Frontend Developer,Warszawa,Nie,Brak danych,Brak danych
Senior Software Engineer - Frontend,Nowy Jork,Tak,Brak danych,Brak danych
Senior Frontend Developer,Warszawa,Tak,Brak danych,Brak danych
WordPress Developer,Szczecin,Nie,12 000,17 000
Frontend Developer,Katowice,Nie,5 000,7 000
Front End Engineer | Demand,Milan,Tak,11 610,15 330
Junior WordPress Web Developer,"Katowice, +1 location",Tak,3 000,4 000
Junior Front-end Developer,Kraków,Nie,4 000,7 000
Senior WordPress Developer,Warszawa,Tak,25 200,30 240
Full Stack Web Engineer- Commerce,Sztokholm,Tak,Brak danych,Brak danych
Junior Wordpress Developer,Częstochowa,Tak,3 000,4 500
Web Developer,"Wysogotowo, +1 location",Nie,7 000,11 000
Frontend Developer,Gdynia,Nie,10 000,14 000
