nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Frontend Developer,Poznań,Tak,9 000,14 000
Full Stack developer (Java/Angular),Warszawa,Nie,Brak danych,Brak danych
Back-end Node.js Developer (Mid),Wrocław,Tak,14 000,24 000
React Native Developer,Wrocław,Tak,11 000,19 000
React Developer,Wrocław,Tak,15 000,19 000
REMOTE Front-end Developer,Wrocław,Tak,10 500,20 000
Remote Node.js Developer,Wrocław,Tak,10 920,18 480
Frontend Developer (Angular or React),Wrocław,Tak,18 500,25 200
Junior/ Mid JavaScript Developer,"Warszawa, +8 locations",Tak,8 000,16 000
Remote Fullstack Developer,Wrocław,Tak,13 440,25 200
Senior React Native Developer,Wrocław,Tak,20 000,26 000
Full Stack Software Engineer - Vue.js,Warszawa,Nie,Brak danych,Brak danych
Angular Developer,Warszawa,Tak,15 000,20 000
React Native Developer,"Poznań, +2 locations",Tak,14 000,25 000
Front-end Developer,"Sopot, +2 locations",Tak,11 000,15 000
Senior Frontend Engineer (Angular 11+),Warszawa,Nie,20 000,28 000
Senior Frontend Developer (React.js),Wrocław,Tak,11 760,23 520
"Senior FullStack Engineer (Angular,Java)",Warszawa,Nie,20 000,28 000
Senior Frontend Developer,Łódź,Nie,18 400,25 600
Salesforce Developer,Warszawa,Nie,24 000,26 000
"Senior Backend Engineer (Web3, FinTech)","Warszawa, +2 locations",Tak,22 500,28 000
Full-stack Engineer (Java + Angular),"Warszawa, +2 locations",Tak,20 000,23 300
Senior Frontend Developer,Warszawa,Nie,25 000,32 000
Senior React Developer,Wrocław,Tak,20 000,26 000
Frontend Engineer with React,Warszawa,Tak,12 000,21 000
Frontend Developer,Gdańsk,Nie,7 000,9 000
Senior React Developer,"Katowice, +1 location",Tak,16 000,25 000
Senior Javascript Engineer,Kraków,Tak,15 000,18 000
Junior Software Developer,Gdynia,Tak,5 200,7 000
Software Engineer INTERN,Gdańsk,Tak,7 000,9 000
"Software Engineer, Front-End",San Francisco,Tak,Brak danych,Brak danych
Frontend Developer (JS/React),Gdańsk,Nie,Brak danych,Brak danych
Junior Software Developer,Gdynia,Nie,7 500,9 000
React developer (mid),"Warszawa, +2 locations",Tak,12 000,20 000
SAP BTP Developer,Wrocław,Nie,Brak danych,Brak danych
Frontend Developer,Rzeszów,Tak,17 000,20 000
Fullstack Node.js Developer with React,Warszawa,Tak,Brak danych,Brak danych
Node.js Backend Developer,"Kraków, +5 locations",Tak,11 000,19 000
Fullstack Software Engineer,"Warszawa, +2 locations",Tak,30 750,39 530
Remote Senior React Frontend Developer,Warszawa,Tak,20 160,28 560
JavaScript Tech Lead,"Kraków, +5 locations",Tak,25 200,36 960
Front-end Developer / People Leader,"Gdynia, +1 location",Tak,17 000,21 000
React Mid Developer - Remote/Wroclaw,Wrocław,Tak,9 000,14 000
Vue.js Developer (mid-senior),Warszawa,Tak,18 000,28 000
Senior Fullstack Developer,Kraków,Tak,18 000,23 000
Frontend Developer | Restaurant Club,"Warszawa, +5 locations",Tak,10 000,15 000
React Senior Developer- Remote/Wroclaw,Wrocław,Tak,14 000,24 000
Cloud Application Developer (React),"Kraków, +3 locations",Tak,12 600,23 100
Frontend developer,Poznań,Tak,11 000,16 000
JavaScript Developer (Vue),Lublin,Tak,10 000,17 000
Młodszy Programista Frontend (CZK),Kraków,Nie,Brak danych,Brak danych
Node.js Developer,"Rybnik, +2 locations",Tak,Brak danych,Brak danych
Frontend Developer,"Rybnik, +2 locations",Tak,Brak danych,Brak danych
Frontend (React) Developer,"Wrocław, +1 location",Tak,10 000,16 000
Frontend Developer (Angular),Warszawa,Nie,21 000,23 500
Mid Node.js Developer,Wrocław,Tak,17 570,35 140
Developer Web,München,Tak,Brak danych,Brak danych
Typescript Tech Lead,"Wrocław, +2 locations",Tak,30 000,45 000
Frontend Developer,Kraków,Tak,15 000,18 000
Senior Remote Vue.js Developer,"Gdynia, +2 locations",Tak,18 000,20 000
Senior React Developer,"Gdynia, +2 locations",Tak,18 000,22 000
Senior JavaScript Developer,Łódź,Tak,18 000,25 000
Senior Engineering Team Leader,Warszawa,Nie,32 000,36 000
Scalac Junior Academy - Frontend (React),Gdańsk,Tak,Brak danych,Brak danych
Frontend Developer React,"Warszawa, +1 location",Tak,12 000,20 000
React Engineer (Mid or Senior),"Wrocław, +2 locations",Tak,17 000,25 000
Backend Engineer,Warszawa,Tak,14 400,21 700
React Frontend Developer,Warszawa,Tak,9 000,16 000
Senior React.js Engineer,Warszawa,Nie,19 000,26 000
Senior Frontend Engineer,Warszawa,Tak,19 200,28 900
Senior JS Developer (Fortune 500 app),Kraków,Tak,27 500,35 000
Junior Frontend Developer (React),Warszawa,Tak,4 000,8 000
Junior FrontEnd Developer,Poznań,Nie,6 000,8 000
Mid/Senior Fullstack Javascript,Barcelona,Tak,13 550,19 360
Senior Frontend Developer ( remote ),Szczecin,Tak,Brak danych,Brak danych
Frontend Developer,"Gdańsk, +1 location",Tak,7 000,12 000
JavaScript Developer,"Wrocław, +1 location",Tak,9 000,15 700
Remote Frontend (React.js) Developer,"Kraków, +2 locations",Tak,14 000,20 000
JavaScript Developer,Poznań,Tak,12 000,18 000
Junior FrontEnd Developer,Poznań,Nie,6 000,8 000
Mid/Senior Fullstack Javascript,Barcelona,Tak,13 550,19 360
Senior Frontend Developer ( remote ),Szczecin,Tak,Brak danych,Brak danych
Frontend Developer,"Gdańsk, +1 location",Tak,7 000,12 000
JavaScript Developer,"Wrocław, +1 location",Tak,9 000,15 700
Remote Frontend (React.js) Developer,"Kraków, +2 locations",Tak,14 000,20 000
JavaScript Developer,Poznań,Tak,12 000,18 000
Senior Front End Developer,Poznań,Nie,15 000,30 000
Senior Frontend (Angular) Engineer,Kraków,Tak,20 000,35 800
Junior Angular Developer,Warszawa,Nie,4 000,8 000
Junior Software Engineer,Poznań,Nie,5 000,9 000
Angular Developer,Warszawa,Tak,16 800,21 840
Remote Fronted Developer,"Kraków, +1 location",Tak,Brak danych,Brak danych
Front-end Developer,"Wrocław, +3 locations",Nie,10 100,16 000
Frontend Developer React,Wrocław,Tak,16 000,23 000
Frontend Developer (Vue.js),Kraków,Tak,8 000,15 000
Senior Front-End Developer (Angular.js),"Limassol, +2 locations",Tak,Brak danych,Brak danych
Mid / Senior Front-end Developer,"Wrocław, +1 location",Tak,12 000,24 000
Backend Node.js Developer,Kraków,Tak,10 000,20 000
Remote Full Stack Developer,"Kraków, +1 location",Tak,13 370,21 400
Frontend Developer,Wrocław,Tak,8 000,15 000
Front-end Developer (React),"Limassol, +2 locations",Tak,Brak danych,Brak danych
Junior/Mid Node.js Developer,Poznań,Tak,16 800,23 500
Mid Frontend Developer (React),Kraków,Tak,15 000,23 000
Remote Mid JavaScript Developer,Łódź,Nie,14 000,18 000
Front-end Developer,"Wrocław, +18 locations",Tak,10 000,13 000
Front-end Tech Lead,"Warszawa, +2 locations",Tak,16 800,27 000
Senior Front-End Developer (Angular 10+),"Limassol, +2 locations",Tak,Brak danych,Brak danych
Angular Developer (remote),Warszawa,Tak,17 000,22 000
React Developer,Kraków,Tak,12 000,20 000
Fullstack Developer (remote),"Warszawa, +3 locations",Tak,25 200,31 920
Senior HTML/Markup Developer,"Limassol, +2 locations",Tak,Brak danych,Brak danych
Senior Full-Stack Developer,"Warszawa, +2 locations",Tak,23 513,25 565
Backend Developer with Node.js,Wrocław,Tak,16 000,32 000
Frontend in Crypto,"Wrocław, +2 locations",Tak,12 000,18 000
Specjalista ds. Wdrożeń Systemów IT,Poznań,Nie,Brak danych,Brak danych
Frontend Developer (VUE),"Kraków, +2 locations",Tak,12 500,17 000
Frontend Web Developer,Kraków,Nie,Brak danych,Brak danych
Senior React Developer (Remote),Warszawa,Tak,23 000,26 000
Front-end Developer,Warszawa,Tak,18 000,22 400
Junior Frontend Developer (React),Kraków,Nie,5 000,8 000
React Developer,Warszawa,Tak,18 480,23 520
Front-end Developer,Kraków,Nie,9 000,14 000
Junior Frontend (React) Engineer,Kraków,Tak,4 000,8 000
Junior Blockchain (Solidity) Developer,Kraków,Nie,5 000,8 000
Frontend Developer,Warszawa,Tak,14 000,21 000
Senior React Engineer - Remote,"Warszawa, +2 locations",Tak,28 990,40 410
Frontend Developer,Kraków,Tak,14 500,19 200
Junior Frontend Developer,"Warszawa, +1 location",Nie,Brak danych,Brak danych
Junior Frontend Developer (e-comm),Sopot,Nie,7 000,8 000
Młodszy Specjalista ds. Wdrożeń Systemów IT,Poznań,Nie,Brak danych,Brak danych
Junior Salesforce Developer - staż,Łódź,Nie,Brak danych,Brak danych
Full-Stack Developer,Kraków,Nie,9 000,14 000
Junior Frontend Developer,Warszawa,Tak,5 000,7 000
Front End Developer,"Białystok, +1 location",Tak,10 000,17 000
FrontEnd Developer,Poznań,Nie,10 000,15 000
Mid/Senior JavaScript Developer,"Gdańsk, +2 locations",Tak,9 240,17 220
Remote Backend (Node.js) Developer,"Kraków, +2 locations",Tak,17 000,23 000
Junior Frontend Developer,"Lublin, +2 locations",Tak,Brak danych,Brak danych
Backend Developer,Tychy,Nie,12 000,17 000
Senior Front-end Developer,Warszawa,Tak,14 000,22 000
Vue.js Developer (MIN 1 YEAR WORK EXP),Szczecin,Tak,5 000,7 500
Junior Javascript Developer,Łódź,Tak,5 000,9 000
Frontend Software Developer - Crypto,Wrocław,Nie,15 000,20 000
Senior React Developer,"Warszawa, +2 locations",Tak,20 000,28 000
Frontend Engineer,Kraków,Tak,14 500,17 000
Frontend Developer (React),Wrocław,Nie,7 500,15 000
Frontend  Developer,Tychy,Nie,12 000,17 000
Product Developer (React),Warszawa,Nie,16 000,20 000
Junior Full Stack Developer,Warszawa,Nie,8 000,9 000
Senior Vue.js Developer,Kraków,Tak,15 000,20 000
