nazwa,miasto,zdalnie,zarobki_min,zarobki_max
C# Backend Developer,"Barcelona, +2 locations",Nie,Brak danych,Brak danych
FullStack .Net Developer,Poznań,Tak,18 000,22 000
Senior .NET Developer,"Gdynia, +1 location",Tak,18 000,24 000
.NET / Senior .NET Developer,Wrocław,Tak,15 000,30 000
.NET Developer - Banking,Warszawa,Tak,15 000,20 000
Programista .NET Staż,Rzeszów,Nie,Brak danych,Brak danych
.Net Developer,Wrocław,Tak,14 000,26 000
Senior  .NET  Developer,Wrocław,Tak,18 500,25 200
Product Manager,Dublin,Tak,Brak danych,Brak danych
Staż/Intern .NET Developer,Gliwice,Nie,3 500,4 500
Mid/Senior .Net IoT Developer,Wrocław,Tak,16 000,28 000
Junior .Net Developer,Warszawa,Nie,Brak danych,Brak danych
Senior Software Engineer,Warszawa,Nie,Brak danych,Brak danych
.NET / Senior .NET Developer,Warszawa,Tak,15 000,30 000
Junior .NET Developer,Warszawa,Nie,5 000,9 000
Mid/ Senior .NET Software Developer,Gdańsk,Tak,Brak danych,Brak danych
.NET Developer,"Warszawa, +2 locations",Tak,20 160,28 560
Programista .net,Gdańsk,Nie,11 000,19 000
Lead Developer/Tech Lead,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Fullstack .NET Developer,Warszawa,Tak,20 000,25 000
Senior .NET Developer,Kraków,Tak,17 760,22 080
.Net Developer,Warszawa,Tak,10 000,20 000
Programista .NET,Warszawa,Nie,Brak danych,Brak danych
.Net Developer,Białystok,Tak,10 000,17 000
Remote Senior .Net Developer,"Poznań, +2 locations",Tak,15 000,22 000
Mid .Net C#/ C++ Developer,"Kraków, +2 locations",Nie,10 000,15 000
.NET Developer with React (Part-time),Warszawa,Tak,26 880,30 240
Junior Software Engineer,Warszawa,Nie,7 500,11 000
Junior Full Stack Web Developer - CRM,"Tajęcina, +1 location",Tak,5 000,10 000
Junior .NET Developer,Warszawa,Tak,7 000,9 000
.NET Developer,Warszawa,Nie,15 960,23 520
Junior Programista .NET / C#,Konopiska,Nie,Brak danych,Brak danych
.NET developer for security revolution,Gdańsk,Nie,16 000,24 000
Mid/Senior .NET Developer,Warszawa,Tak,17 000,23 800
Senior .Net Developer,Warszawa,Nie,15 000,20 000
.NET Developer,Warszawa,Tak,17 000,21 000
Mid Back-end Developer,Poznań,Tak,16 800,21 000
.NET Developer,"Warszawa, +1 location",Tak,10 000,15 000
Młodszy Programista C#/.NET,Wrocław,Nie,5 500,9 000
Mid/ Senior .Net Developer,"Wrocław, +1 location",Tak,12 000,24 000
Junior C# Developer,Warszawa,Nie,4 000,8 000
Junior Full-Stack Developer,Gdańsk,Nie,Brak danych,Brak danych
Senior Fullstack .Net Developer,Kraków,Nie,13 000,20 000
Regular .NET Developer,"Warszawa, +3 locations",Tak,10 000,16 000
.NET Developer,"Warszawa, +3 locations",Tak,15 000,22 000
Backend Web Developer (.Net Core/ C#),"Kraków, +1 location",Tak,Brak danych,Brak danych
Senior .Net Developer (Backend),Kraków,Nie,13 000,20 000
Senior .NET Developer,"Wrocław, +4 locations",Tak,14 000,21 000
MID .NET Developer,Katowice,Nie,8 000,15 000
.NET Software Architect/Technical Leader,Kraków,Nie,8 000,15 000
Full Stack Developer,"Warszawa, +1 location",Nie,Brak danych,Brak danych
Junior C# Developer,Łódź,Nie,5 000,6 500
.NET Software Architects Lead,Katowice,Nie,8 000,15 000
Junior .Net Azure Developer,Warszawa,Nie,8 000,9 000
Letni Program Stażowy DTiQ,Gliwice,Tak,Brak danych,Brak danych
C# / .NET Developer,"Łódź, +2 locations",Tak,13 000,21 000
Junior .NET developer (fullstack),Poznań,Nie,4 500,9 000
Programista C# / ASP.NET,Wrocław,Tak,13 000,17 000
.NET Cloud Developer,Kraków,Nie,10 000,17 000
Junior C#/.NET Developer,"Warszawa, +8 locations",Nie,7 700,11 800
.NET Fullstack Developer,"Warszawa, +2 locations",Tak,16 000,25 200
C#/.NET Developer,"Warszawa, +8 locations",Nie,11 800,17 900
Software Engineer,"Warszawa, +2 locations",Tak,9 600,16 000
Junior FullStack Developer (.NET),Warszawa,Nie,8 000,16 000
Fullstack .Net Developer,Wrocław,Tak,18 000,21 000
Regular .Net Developer,Warszawa,Tak,16 000,18 000
Mid/Senior .Net Developer,Katowice,Tak,14 000,24 000
.NET Developer,"Warszawa, +5 locations",Tak,12 600,20 160
.NET Developer,Warszawa,Nie,Brak danych,Brak danych
Praktyki - Programista .NET,Warszawa,Nie,,
Software Development Manager,Kraków,Nie,Brak danych,Brak danych
Senior Fullstack  (.Net + Angular),"Białystok, +1 location",Tak,14 000,18 000
Mid/ Senior .NET Core developer,"Rzeplin, +18 locations",Tak,15 000,19 000
