nazwa,miasto,zdalnie,zarobki_min,zarobki_max
FullStack Python in Crypto,"Wrocław, +2 locations",Tak,13 000,19 000
Python Developer,Warszawa,Nie,11 000,14 000
Senior Full Stack Developer,"Wrocław, +2 locations",Tak,17 000,26 000
R&D Developer,Warszawa,Nie,10 000,13 000
Senior Software Engineer (Python),Poznań,Tak,17 000,21 000
Delivery Manager,Warszawa,Tak,25 000,30 000
Test Developer Python,"Gdańsk, +2 locations",Tak,8 000,14 000
Python AWS Backend Developer,Wrocław,Tak,16 000,20 000
Machine/Deep Learning Developer,Wrocław,Nie,6 500,12 500
Firmware Quality Assurance Engineer,Zabierzów,Nie,Brak danych,Brak danych
Python Senior Developer- Remote,"Warszawa, +1 location",Tak,12 000,20 000
Python Senior Developer- Remote/Wroclaw,Wrocław,Tak,12 000,20 000
Python Mid Developer- Remote,Kraków,Tak,10 000,16 000
Junior Python Developer (TensorFlow),Warszawa,Tak,Brak danych,Brak danych
Python Developer,"Wrocław, +2 locations",Tak,15 000,19 000
Python Developer,Warszawa,Tak,14 000,28 000
Backend Software Engineer,"Warszawa, +2 locations",Tak,30 750,39 530
Senior Machine Learning Engineer,"Warszawa, +2 locations",Tak,39 530,57 100
Python/Perl Software Developer for Linux,"Łódź, +2 locations",Tak,7 000,13 000
Data Analyst (junior/mid),Gdynia,Nie,8 000,12 000
Embedded Software Engineer,Gdańsk,Nie,Brak danych,Brak danych
Python Developer,"Rybnik, +2 locations",Tak,Brak danych,Brak danych
Senior Python Back-End Engineer,"Warszawa, +4 locations",Tak,Brak danych,Brak danych
AI developer / remote sensing specialist,Poznań,Tak,15 000,25 000
Big Data Engineer with Python,Szczecin,Tak,20 000,29 000
Computer Vision Engineer,"Gdańsk, +2 locations",Tak,18 000,26 000
Python Developer,Warszawa,Tak,11 000,17 500
Python/C++ Engineer,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Backend Engineer,Warszawa,Tak,23 000,32 000
Python Engineer,Kraków,Tak,15 000,22 000
Senior Python Developer,"Wrocław, +2 locations",Tak,17 000,24 000
Python Developer (Partnerships Team),Warszawa,Tak,11 000,17 500
Python Developer (Payments Team),Warszawa,Tak,11 000,17 500
Senior Python Developer R&D,"Wrocław, +2 locations",Tak,17 000,24 000
Jr Fullstack Developer (Django +Angular),Wrocław,Nie,6 000,9 000
Senior/Principal Engineer,"Poznań, +1 location",Tak,Brak danych,Brak danych
Staż/ praktyki letnie,Gdynia,Nie,1 000,2 000
STAŻ/PRAKTYKI LETNIE,Gdynia,Nie,1 000,2 000
Senior/Mid Backend Developer,Warszawa,Tak,17 000,21 000
Senior Full Stack SaaS Marketplaces,Katowice,Tak,19 510,30 190
AI summer camp w Voicelab.ai,Gdańsk,Nie,Brak danych,Brak danych
Python Software Engineer,Warszawa,Tak,12 000,19 000
Junior Python ML Developer,Warszawa,Tak,5 000,7 000
Junior Technical Application Manager,Warszawa,Nie,10 080,13 440
Python Developer,"Wrocław, +2 locations",Tak,13 000,19 100
Junior Hardware Validation,Gdańsk,Nie,4 200,8 000
Staff Backend Software Engineer,"Wrocław, +1 location",Tak,23 000,28 000
Senior Python Developer with Azure,Warszawa,Tak,26 000,31 000
Data Scientist with Python (remote),Warszawa,Tak,23 852,28 560
Senior Python Developer,"Warszawa, +2 locations",Tak,25 000,35 000
Senior Python Backend Engineer,Warszawa,Tak,33 600,50 400
Python Test Development Engineer,Kraków,Tak,Brak danych,Brak danych
Python Developer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Applied Intelligence ML Ops  all levels,Warszawa,Nie,Brak danych,Brak danych
Python Unit Leader,Kraków,Tak,17 000,21 000
Python developer,"Łódź, +2 locations",Tak,17 000,18 000
Senior Python Developer,Gdańsk,Tak,Brak danych,Brak danych
Software Developer,Ramillies,Nie,Brak danych,Brak danych
Python Developer,"Gdańsk, +6 locations",Tak,8 500,16 800
Fullstack Python Developer,Gdańsk,Nie,18 900,23 400
Python in Crypto,"Wrocław, +2 locations",Tak,18 000,24 000
Senior Python Engineer,"Warszawa, +18 locations",Tak,22 000,30 000
Backend Developer,Poznań,Tak,11 000,17 000
Software Engineer (Python),Katowice,Nie,15 210,25 200
Python Mid/Senior Developer/Tech Lead:,Wrocław,Tak,20 160,35 280
"Software Engineer, Backend",Warszawa,Tak,13 000,16 000
"Software Engineer, Backend","Wrocław, +1 location",Tak,13 000,16 000
Middle/Senior Python Developer (Django),Warszawa,Tak,12 000,24 000
Senior Python Developer,"Wrocław, +2 locations",Tak,17 000,26 000
Data Engineer [Python],Wrocław,Tak,Brak danych,Brak danych
Senior Machine Learning Developer,Warszawa,Tak,19 000,23 000
Python Developer,Warszawa,Tak,13 000,16 000
Python Developer,Warszawa,Tak,20 000,25 000
"Manager, Software Engineering",Warszawa,Tak,23 000,28 000
Staff Machine Learning Developer,Warszawa,Tak,23 000,28 000
Staff Backend Developer,Warszawa,Tak,23 000,28 000
Senior Python Back End Engineer,Warszawa,Tak,19 510,24 620
Senior Developer (Backend),Warszawa,Tak,19 000,23 000
Senior Backend Python Developer,Warszawa,Tak,14 000,20 000
"Manager, Software Engineering",Warszawa,Tak,23 000,28 000
Staff Machine Learning Developer,Warszawa,Tak,23 000,28 000
Staff Backend Developer,Warszawa,Tak,23 000,28 000
Senior Python Back End Engineer,Warszawa,Tak,19 510,24 620
Senior Developer (Backend),Warszawa,Tak,19 000,23 000
Senior Backend Python Developer,Warszawa,Tak,14 000,20 000
SOFTWARE ENGINEER (PYTHON OR GO),"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Senior Python Engineer,New York,Tak,36 590,51 210
Software Engineer,Kraków,Nie,Brak danych,Brak danych
Product Development Manager,Warszawa,Nie,Brak danych,Brak danych
Python Developer,Warszawa,Nie,10 000,20 000
Deep Learning Engineer,"Katowice, +3 locations",Tak,16 000,22 000
RPA/IPA Automation Developer,Warszawa,Nie,Brak danych,Brak danych
Python Core Developer,Warszawa,Nie,Brak danych,Brak danych
Python Fullstack Developer,"Warszawa, +4 locations",Nie,Brak danych,Brak danych
NLP Developer/Consultant,"Katowice, +2 locations",Tak,Brak danych,Brak danych
Junior Backend (Python/Django) Engineer,Kraków,Tak,4 000,8 000
Senior Software Architect,Kraków,Tak,42 000,45 360
Senior Python Developer,"Kraków, +3 locations",Tak,12 000,18 000
Python Developer,"Kraków, +2 locations",Tak,11 000,18 000
Python Developer,"Kraków, +3 locations",Tak,8 000,14 000
Linux Scripting Engineer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Tech Lead (Python),"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Power BI Engineer,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Python Software Engineer,"Łódź, +5 locations",Nie,10 000,20 000
Senior Python Core Developer,Warszawa,Nie,20 000,28 000
Python Engineer,"Kraków, +1 location",Tak,23 000,28 000
NLP Engineer (mid / senior),Warszawa,Tak,Brak danych,Brak danych
Python Software Engineer in Security,Warszawa,Tak,16 500,27 000
Python Developer,Wrocław,Nie,14 600,22 700
Senior Python Engineer,"Warszawa, +1 location",Tak,14 000,19 000
Junior Python Developer,Gliwice,Nie,4 000,8 000
Python Developer,"Sopot, +2 locations",Tak,17 400,24 400
Regular / Senior Python Developer,Warszawa,Tak,25 000,30 000
System Engineer - PTO,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Team Leader - Python Developer,Wrocław,Nie,24 000,26 000
Administrator Linux,Warszawa,Tak,Brak danych,Brak danych
Python Developer,Kraków,Tak,6 500,11 500
Python Developer,Warszawa,Tak,Brak danych,Brak danych
Senior Python Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Python Backend Developer,Warszawa,Tak,12 000,18 000
Junior Python Developer,Mysłowice,Nie,6 000,9 000
Python Engineer,Warszawa,Tak,20 000,26 000
Senior Backend Developer,Kraków,Nie,Brak danych,Brak danych
Software Automation Engineer,Kraków,Tak,22 000,25 000
Mid Backend Developer,Kraków,Nie,Brak danych,Brak danych
Mid/Senior Big Data Engineer,Wrocław,Tak,Brak danych,Brak danych
"SEO Developer (PHP, Python lub JS)",Katowice,Tak,8 000,12 000
Python Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Senior Python Developer,"Wrocław, +7 locations",Tak,16 800,25 200
Python Developer,"Kraków, +2 locations",Tak,15 000,23 000
IT Specialist,Warszawa,Nie,6 000,9 000
Senior Python Developer,Warszawa,Tak,17 600,23 000
Python Backend Developer,Wrocław,Nie,14 000,25 000
C Embedded Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Machine Learning Engineer,Gdańsk,Tak,Brak danych,Brak danych
Team Leader/Senior Python in Crypto,Wrocław,Nie,18 000,26 000
Machine Learning Software Engineer,Kraków,Tak,15 000,20 000
Backend Developer,"Kraków, +1 location",Tak,13 000,16 000
Release Infrastructure Engineer,Warszawa,Nie,25 000,50 000
Software Engineer in Test,"Warszawa, +1 location",Tak,15 500,22 000
QA Team Lead,Warszawa,Nie,15 000,25 000
Senior Software Enginee-Execution Engine,Kraków,Tak,Brak danych,Brak danych
"DevOps Engineer (GCP, Python)",Wrocław,Tak,24 000,28 000
Senior Software Engineer,Warszawa,Nie,12 000,18 000
Junior Software Engineer,Warszawa,Nie,4 000,8 000
Python Team Developer,"Białystok, +2 locations",Tak,12 000,21 000
Programista Python,Warszawa,Nie,8 000,16 000
Python Developer,Warszawa,Tak,14 000,18 000
Tests & Automation,Herclijja,Nie,Brak danych,Brak danych
