nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Senior Cloud Security Engineer,Poznań,Tak,18 000,27 000
Product Security Engineer,Poznań,Tak,16 000,18 000
Cloud Security Engineer,Poznań,Tak,16 000,18 000
Senior IT Security Engineer,Warszawa,Tak,Brak danych,Brak danych
Penetration Testing Technical Reviewer,Warszawa,Tak,33 600,36 960
Threat Hunter,"Bydgoszcz, +2 locations",Tak,Brak danych,Brak danych
Młodszy Specjalista Bezpieczeństwa IT,Kraków,Nie,Brak danych,Brak danych
Junior Cloud Sec&Compliance Engineer,Warszawa,Tak,7 000,9 000
Senior Manager ICS Controls Testing,"Warszawa, +18 locations",Tak,Brak danych,Brak danych
Konsultant ds. Zarządzania Bezpieczeństwem IT,Warszawa,Tak,Brak danych,Brak danych
Information Systems Security Engineer,Warszawa,Nie,13 500,24 500
Cybersecurity Engineer,Warszawa,Nie,Brak danych,Brak danych
Cloud Security Engineer,Kraków,Tak,17 000,23 000
Senior DevSecOps Engineer,Warszawa,Tak,16 700,26 000
"Governance, Risk and Compliance Engineer","Warszawa, +18 locations",Tak,Brak danych,Brak danych
Security Engineer,Oslo,Tak,Brak danych,Brak danych
Network Engineer,Warszawa,Tak,13 000,17 000
Cloud Security Specialist,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Cloud Security&Compliance Engineer,"Warszawa, +2 locations",Tak,14 000,19 000
Application Security Consultant,Warszawa,Tak,Brak danych,Brak danych
SOCC Analyst,Kraków,Nie,Brak danych,Brak danych
Java Developer all levels,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Cloud Security Engineer,"Kraków, +17 locations",Tak,15 000,22 000
Cloud Compliance Consultant,"Warszawa, +2 locations",Tak,14 000,22 000
Cybersecurity Consultant,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Cybersecurity Specialist,Dąbrowa Górnicza,Tak,Brak danych,Brak danych
Security Engineer for Antivirus & EDR,"Bydgoszcz, +2 locations",Tak,Brak danych,Brak danych
Security Engineer III,Kraków,Nie,24 000,36 000
