nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Business IT Operations Manager,Poznań,Nie,15 500,19 000
Młodszy konsultant asysty technicznej,Kraków,Nie,Brak danych,Brak danych
IT Service Specialist,Gliwice,Tak,10 000,12 000
Specjalista IT,Wrocław,Nie,Brak danych,Brak danych
Junior IT Service Desk Specialist,Wrocław,Nie,Brak danych,Brak danych
Service Operations Analyst,Wrocław,Tak,6 000,6 500
Helpdesk Specialist,Kraków,Nie,9 000,12 000
IT Service Management Process Manager,"Kraków, +10 locations",Tak,Brak danych,Brak danych
Recruiter,Gdańsk,Nie,7 000,12 000
Junior Support Specialist,Wrocław,Tak,4 000,6 000
Operator Systemów,Rzeszów,Nie,4 000,6 000
Network Infrastructure Technician in USA,"New York, +18 locations",Nie,12 000,17 000
Customer Support Specialist,Wrocław,Nie,Brak danych,Brak danych
Młodszy Specjalista ds. Helpdesk,"Rzeszów, +1 location",Nie,4 000,6 000
Analityk Zgłoszeń IT,Rzeszów,Nie,4 000,6 000
IT Support Specialist,Gdynia,Nie,Brak danych,Brak danych
L2 Support Analyst,"Kraków, +2 locations",Tak,9 000,16 500
Oracle Finance - Requests Junior Analyst,Gdynia,Nie,Brak danych,Brak danych
Praktyki w Zespole Wsparcia IT,Warszawa,Nie,,
Integration Support Engineer,Kraków,Tak,Brak danych,Brak danych
MID Bid Manager,Kraków,Nie,8 000,15 000
Technical Customer Support- Tier 2,Warszawa,Nie,9 000,11 000
Deployment & Sup Spec,Wrocław,Tak,Brak danych,Brak danych
Młodszy Operator Systemów i Sieci,Warszawa,Nie,Brak danych,Brak danych
Support Analyst,Kraków,Tak,5 000,8 000
Konsultant Helpdesk,Poznań,Nie,Brak danych,Brak danych
Tech/Engineering Lead,Warszawa,Nie,15 000,20 000
Specjalista Helpdesk,Poznań,Nie,Brak danych,Brak danych
Konsultant/Wdrożeniowiec,"Kraków, +2 locations",Tak,Brak danych,Brak danych
IT PMO Support,Kraków,Tak,Brak danych,Brak danych
Service Desk- Subject Matter Expert,Gdańsk,Nie,6 000,9 000
STAŻ – MŁODSZY INŻYNIER DOCSIS,Gdynia,Nie,Brak danych,Brak danych
Information Systems Engineer with Linux,Gdańsk,Nie,12 500,17 000
Application Support Specialist,"Siedlce, +1 location",Nie,Brak danych,Brak danych
Deployment & Support Specialist,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Senior Network and System Administrator,Wrocław,Nie,Brak danych,Brak danych
Junior Customer Support Engineer,Wrocław,Nie,6 000,8 000
Technical Support Engineer (L2),"Kraków, +2 locations",Tak,14 860,18 580
Solution Architect,Kraków,Nie,5 000,9 000
Junior Client Engagement Manager,Wrocław,Nie,7 000,10 000
Inżynier ds. Systemów IT,Warszawa,Nie,Brak danych,Brak danych
Help Desk Specialist,Warszawa,Nie,Brak danych,Brak danych
Junior Technical Support Engineer,Warsaw,Nie,Brak danych,Brak danych
IT Global Service Desk Agent,Wrocław,Nie,Brak danych,Brak danych
Site Reliability Engineer,Warszawa,Nie,Brak danych,Brak danych
IT Support Specialist,Kraków,Nie,Brak danych,Brak danych
IT Service Delivery Manager,"Kraków, +1 location",Nie,Brak danych,Brak danych
Service Desk Engineer,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
Customer Solution Engineer,Gdańsk,Nie,8 000,15 000
2nd Line Support Specialist,"Wrocław, +5 locations",Tak,6 000,7 000
Junior Product Implementation Consultant,Warszawa,Nie,,
ITSM/ITOM/SIAM Consultant,"Katowice, +2 locations",Tak,Brak danych,Brak danych
Technical Support Specialist,"Łódź, +1 location",Nie,6 000,12 000
Support Manager,Wrocław,Nie,12 000,16 000
Senior Technical Lead,Gdańsk,Nie,10 000,18 000
Head of Sales,"Nicosia, +2 locations",Tak,Brak danych,Brak danych
Senior Business Development,Poznań,Nie,Brak danych,Brak danych
"Specjalista, ICT (Helpdesk)",Łódź,Nie,Brak danych,Brak danych
1st line Support,Warszawa,Tak,6 000,10 000
Technical Support Engineer,Poznań,Nie,Brak danych,Brak danych
Support Engineer,San Francisco,Tak,18 300,36 600
Junior Business Development,Poznań,Nie,Brak danych,Brak danych
IT Support,Katowice,Nie,6 000,7 000
Młodszy Specjalista ds.wsparcia IT (k/m),Zielonka,Nie,Brak danych,Brak danych
IT Support Specialist,"Szczecin, +1 location",Nie,Brak danych,Brak danych
IT Systems Support Specialist,"Warszawa, +1 location",Nie,9 000,15 000
Technical Implementation Specialist,Kraków,Tak,4 000,6 500
ServiceNow Developer,Warszawa,Tak,20 160,23 520
ServiceNow Technical Consultant,Warszawa,Tak,20 160,25 200
Junior Konsultant IT ds. aplikacji,Poznań,Tak,5 000,9 000
IT Sales Support Specialist,Warszawa,Nie,4 000,7 400
Technical Support Engineer,"Gdańsk, +18 locations",Tak,8 000,12 000
Senior Service Manager in GFCP Team,Gdańsk,Nie,12 100,16 400
First Line Support Engineer,Kraków,Nie,5 000,9 000
Junior Implementation Consultant,Warsaw,Nie,6 000,6 500
IT Support Specialist,Wrocław,Nie,8 000,12 000
Technical Support Engineer,Warszawa,Nie,9 000,12 000
Cloud Support Specialist Polish/English,Wrocław,Nie,Brak danych,Brak danych
Software Engineer SQL,Gdańsk,Tak,12 600,16 800
First Line Support Engineer,Kraków,Nie,5 000,9 000
Junior Implementation Consultant,Warsaw,Nie,6 000,6 500
IT Support Specialist,Wrocław,Nie,8 000,12 000
Technical Support Engineer,Warszawa,Nie,9 000,12 000
Cloud Support Specialist Polish/English,Wrocław,Nie,Brak danych,Brak danych
Software Engineer SQL,Gdańsk,Tak,12 600,16 800
IT Service Desk Team Leader,Warszawa,Tak,Brak danych,Brak danych
Microsoft Engineer,Kraków,Nie,Brak danych,Brak danych
