nazwa,miasto,zdalnie,zarobki_min,zarobki_max
UX Researcher (Mid/Senior),Gdańsk,Nie,Brak danych,Brak danych
Junior UX / UI Designer,"Poznań, +2 locations",Tak,Brak danych,Brak danych
UX Designer,Katowice,Tak,8 000,9 000
UX/UI Designer,Poznań,Tak,Brak danych,Brak danych
Senior Product Designer (UX) / Team Lead,Poznań,Tak,14 500,17 000
Full Stack Developer (Angular/NodeJS),Łódź,Nie,16 390,20 520
Graphic Designer,Warszawa,Tak,6 000,10 000
Product Designer,Bielsko-Biała,Tak,12 000,14 000
UI/UX Designer,"Kraków, +2 locations",Tak,8 400,12 600
Product Designer,"Kraków, +2 locations",Tak,8 400,12 600
UX Designer,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
Senior UX/UI Designer,Łódź,Tak,16 000,23 000
Product Designer,"Wrocław, +1 location",Tak,11 000,15 500
UX Designer,Warszawa,Tak,28 000,30 000
Mid/Senior Visual Designer/ UI,Warszawa,Tak,10 000,16 000
Senior UX/UI Designer,Poznań,Nie,10 000,15 000
Product Designer,Warszawa,Tak,13 440,18 480
UX / UI Graphic Designer,Katowice,Tak,11 000,15 000
Senior Product UX Designer,Gdańsk,Nie,16 000,20 000
"UX/UI Designer (eCommerce, Texas)",Kraków,Tak,15 000,24 000
UX Designer,Wrocław,Nie,Brak danych,Brak danych
Web UI Designer,Kraków,Nie,7 000,11 000
Senior React Developer,Warszawa,Tak,16 800,25 200
Senior Product Designer,Wrocław,Tak,14 000,18 000
UX/UI Designer - Remote / WAW,Warszawa,Tak,7 000,14 000
Visual Designer (part-time),"Katowice, +1 location",Tak,6 000,10 200
Inżynier rozwoju sieci i usług,Warszawa,Nie,10 000,15 000
Product Designer,Wrocław,Nie,12 000,19 000
UI Designer,Gdańsk,Nie,Brak danych,Brak danych
UI/UX Designer,Warszawa,Nie,Brak danych,Brak danych
Senior UI Designer,"Warszawa, +4 locations",Tak,15 000,21 000
Junior UX/UI Designer,Gdynia,Nie,5 800,9 000
Head of Product Design,Poznań,Tak,23 000,26 000
UI Developer,Warszawa,Nie,Brak danych,Brak danych
UI Designer,"Warszawa, +4 locations",Tak,12 000,16 000
UX Team Leader,"Kraków, +17 locations",Tak,18 000,21 000
UX Designer,Poznań,Tak,7 000,10 000
Junior UX Designer,Poznań,Tak,4 000,6 500
Remote Product Designer,Gdańsk,Tak,12 000,16 000
Senior UX Researcher,"Warszawa, +1 location",Nie,22 500,28 000
Specjalista ds. UX/UI,Łódź,Nie,Brak danych,Brak danych
UX/UI Designer,Warszawa,Nie,Brak danych,Brak danych
Lead UX/UI Designer,"Stockholm, +2 locations",Tak,20 900,25 550
Product Designer,"Gliwice, +1 location",Tak,9 000,15 700
Product Designer,"Warszawa, +1 location",Tak,15 700,22 500
Product Designer (UI/UX),Warszawa,Tak,12 000,14 000
UI/UX Designer / Webdesigner,Poznań,Nie,9 000,13 000
Product Designer,Warszawa,Tak,9 450,14 175
Senior Product Designer,Warszawa,Tak,15 750,24 675
Senior UX/UI Designer,Warszawa,Tak,15 750,23 100
UX/UI Designer,Warszawa,Tak,7 350,12 075
Junior Front-end Developer (Angular),"Poznań, +2 locations",Nie,7 000,9 000
Senior UX / UI Designer,Kraków,Tak,16 800,23 520
Product Design Team Lead,Kraków,Tak,17 000,22 000
Product Designer UX,"Kraków, +1 location",Tak,13 000,17 000
UX Designer,"Złotów, +2 locations",Tak,Brak danych,Brak danych
UX Designer,Gdańsk,Tak,9 000,13 000
UX Research Manager,Warszawa,Tak,12 000,16 000
Product Designer,"Kraków, +2 locations",Tak,12 000,16 000
Product Designer,Kraków,Tak,11 000,15 000
Animator 2D,"Katowice, +2 locations",Tak,Brak danych,Brak danych
Frontend Developer,Warszawa,Nie,10 000,16 000
Senior Product Designer,Poznań,Tak,16 000,22 000
Head of Design,Warszawa,Tak,25 000,28 000
UX/UI Designer,"Warszawa, +2 locations",Tak,8 000,14 000
UI/UX Designer (Remote/Warszawa),Warszawa,Tak,7 500,15 000
Sr Android Engineer - Teams,Bellevue,Tak,Brak danych,Brak danych
UX Designer,"Wrocław, +2 locations",Tak,10 000,19 000
Product Designer,Gdańsk,Tak,11 500,16 000
Senior Product Designer,"Toruń, +5 locations",Tak,11 500,18 000
UX/UI Designer,Łódź,Nie,Brak danych,Brak danych
Product Designer,"Gliwice, +2 locations",Tak,9 000,17 000
Product Designer,"Denver, +2 locations",Tak,21 960,30 750
Product Designer,Katowice,Tak,11 000,17 000
Product Designer (UX),"Poznań, +1 location",Tak,10 000,15 000
UI/UX Designer/ka,Warszawa,Nie,10 000,15 000
Senior Product Designer,"Wrocław, +2 locations",Tak,20 000,22 000
UX/UI Designer [4 day work week],Poznań,Tak,8 000,14 500
MacOS Developer(Graphic Eng.) 100%Remote,"Kraków, +3 locations",Tak,40 000,51 000
Senior UX Designer,"Gliwice, +2 locations",Tak,15 600,23 500
Senior Product Designer,Wrocław,Tak,15 000,22 000
UX Designer,Warszawa,Tak,25 000,30 000
UX/UI Designer,"Warszawa, +2 locations",Tak,9 000,14 000
Senior UX Designer,Warszawa,Nie,Brak danych,Brak danych
Medium UI Designer,"Gliwice, +2 locations",Tak,10 700,16 200
UX/UI Designer,"Warszawa, +2 locations",Nie,9 000,12 000
UX / UI Product Designer,Katowice,Nie,10 000,15 000
UX Designer,Wrocław,Nie,15 000,19 000
UI/UX Designer,Kraków,Nie,12 000,17 000
UX Designer / Analyst,"Wrocław, +1 location",Nie,4 000,6 000
Junior UX/UI Designer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
UX/UI Designer (regular),"Warszawa, +18 locations",Tak,7 000,11 000
Product Designer,Kraków,Tak,15 000,20 000
Programista SAP FIORI/SAP UI5,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
UX Interaction Designer - 100% remote,Bielsko-Biała,Tak,10 000,18 000
UX/UI Senior Product Designer,"Warszawa, +2 locations",Tak,14 000,19 000
UX/UI Designer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
UX Designer,Warszawa,Nie,Brak danych,Brak danych
UX Researcher,Lublin,Tak,Brak danych,Brak danych
Scrum Master,Warszawa,Tak,21 840,26 040
E-learning developer,Wrocław,Tak,5 000,6 500
Product Designer,Wrocław,Tak,12 000,16 000
Product Designer,Kraków,Nie,12 000,17 000
UX Researcher / Analyst,"Warszawa, +2 locations",Tak,12 000,18 000
UX Designer,Poznań,Tak,Brak danych,Brak danych
Senior UI/UX Designer,"Kraków, +1 location",Tak,14 600,18 500
Senior Product Designer,"Kraków, +1 location",Tak,14 600,18 500
Creative UI Developer,Poznań,Tak,Brak danych,Brak danych
UX UI Designer,"Limerick, +3 locations",Tak,18 580,19 740
Inżynier ds. Zarządzania 5G,Łódź,Nie,8 000,11 000
Design Intern,"Wrocław, +2 locations",Tak,2 000,3 500
Product Designer,"Gdańsk, +2 locations",Tak,14 000,17 000
Senior UI/UX Designer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
UX/UI Team Leader,Warszawa,Nie,18 000,25 000
UI/Graphic Designer,Wrocław,Tak,6 000,9 000
Product Designer (UI/UX),Bydgoszcz,Tak,15 330,30 660
Mid/Senior UI Designer,Warszawa,Nie,16 800,23 500
Junior UX/UI Designer,Poznań,Tak,4 000,6 000
UI/UX,Poznań,Tak,11 000,20 000
