zarobki_min,zarobki_max,nazwa,miasto,zdalnie
Brak danych,Brak danych,Junior PHP/JS Developer - Tech Support,Warszawa,Nie
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
20000,28000,Senior Node.js Developer,Nie podano,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
Brak danych,Brak danych,Programista APIGW,Nie podano,Tak
5100,9000,Junior Frontend Developer,Nie podano,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
Brak danych,Brak danych,C# (ASP.NET) Developer,Nie podano,Tak
Brak danych,Brak danych,Senior C#/.NET Software Developer,Nie podano,Tak
Brak danych,Brak danych,Frontend Developer with React,Nie podano,Nie
Brak danych,Brak danych,Support Analyst for Google Ad Manager with German,Kraków,Nie
10460,20160,Ruby Developer,Nie podano,Tak
11000,18000,Frontend Developer,Nie podano,Tak
Brak danych,Brak danych,PHP Developer,Nie podano,Tak
Brak danych,Brak danych,Frontend Developer,Warszawa,Tak
13000,15000,React Developer,Nie podano,Tak
Brak danych,Brak danych,Full Stack Engineer (Wholesale IT),Kraków,Nie
8000,28056,React Frontend Developer,Gdańsk,Tak
Brak danych,Brak danych,Software Developer (Ruby / Java),Kraków,Tak
Brak danych,Brak danych,Test Engineer,Gdańsk,Nie
Brak danych,Brak danych,Tester,Nie podano,Tak
Brak danych,Brak danych,Java Developer,Warszawa,Tak
10000,14000,Full Stack Developer LAMP - PHP - Vue.js,Nie podano,Tak
Brak danych,Brak danych,Senior Developer DB/Java,Wrocław,Tak
22000,22000,Front-End developer JS / Angular,Wrocław,Tak
Brak danych,Brak danych,Fullstack Web Developer,Warszawa,Nie
Brak danych,Brak danych,PHP/Magento Developer - (junior/mid/senior),Nie podano,Tak
Brak danych,Brak danych,Test Automation Engineer,Kraków,Nie
Brak danych,Brak danych,Front-End Developer in Visual Display Team,Warszawa,Nie
Brak danych,Brak danych,.NET Developer,Warszawa,Nie
Brak danych,Brak danych,Java Developer,Warszawa,Tak
Brak danych,Brak danych,Senior Python Developer,Nie podano,Tak
Brak danych,Brak danych,Python Developer,Nie podano,Tak
19000,24000,React Native Developer,Nie podano,Tak
13000,18000,Programista / Programistka .NET,Nie podano,Nie
Brak danych,Brak danych,Programista .NET,Warszawa,Tak
Brak danych,Brak danych,Internship Programme (Software Development) July 2022,Kraków,Tak
Brak danych,Brak danych,Internship Programme (Quality Assurance) July 2022,Kraków,Tak
9000,16000,Microsoft Full Stack Developer,Nie podano,Tak
10985,25000,JavaScript Developer,Nie podano,Tak
Brak danych,Brak danych,Software Engineer API&UI,Nie podano,Tak
Brak danych,Brak danych,Java Developer,Nie podano,Tak
Brak danych,Brak danych,Front-End Engineer for Cloud  Services,Warszawa,Nie
12000,20000,Remote Frontend Engineer (Vue.js),Nie podano,Tak
Brak danych,Brak danych,Full Stack Software Engineer,Gdańsk,Tak
Brak danych,Brak danych,Frontend Developer in Research and Development Center,Warszawa,Nie
10000,16000,Node.js Developer,Warszawa,Tak
Brak danych,Brak danych,Sitecore Developer,Poznań,Tak
Brak danych,Brak danych,Programista Backend (Node.js),Gdynia,Nie
15000,23000,Senior Front-end Developer,Warszawa,Tak
Brak danych,Brak danych,Senior Full Stack Developer and Data Engineer,Nie podano,Tak
Brak danych,Brak danych,Senior Full Stack Developer (Focus Frontend and JavaScript (React.js)),Nie podano,Tak
Brak danych,Brak danych,Front-end Developer React,Nie podano,Tak
11000,18000,.NET Developer,Nie podano,Tak
Brak danych,Brak danych,Praktyki Java/Salesforce,Nie podano,Tak
Brak danych,Brak danych,Java Software Developer,Nie podano,Tak
10000,16000,Mid Front-end Developer,Warszawa,Tak
16800,25200,Python Developer (in fintech industry) (EU candidates),Nie podano,Tak
Brak danych,Brak danych,React Native Developer (EU candidates),Nie podano,Tak
5500,11000,Front-End Developer,Nie podano,Tak
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie
Brak danych,Brak danych,(Investment Banking Tech) Software Engineer (Sales IT),Kraków,Nie
Brak danych,Brak danych,.Net C# Junior Developer,Kraków,Tak
Brak danych,Brak danych,.Net C# Developer,Kraków,Tak
Brak danych,Brak danych,Software Frontend Developer (js/React),Kraków,Tak
10000,29400,FullStack Java Developer,Nie podano,Tak
Brak danych,Brak danych,Tester,Nie podano,Tak
Brak danych,Brak danych,Solution Architect,Warszawa,Tak
Brak danych,Brak danych,Guidewire Developer,Nie podano,Tak
23000,27000,Full Stack .Net Developer + React,Nie podano,Tak
Brak danych,Brak danych,Java Developer,Nie podano,Tak
Brak danych,Brak danych,Fullstack engineer (Java/Angular),Warszawa,Nie
9000,12000,QA Engineer (m/f/d),Katowice,Tak
21000,28500,Senior React Native Developer,Kraków,Tak
Brak danych,Brak danych,Senior Java developer,Kraków,Tak
20000,25000,Senior Java Developer,Wrocław,Tak
Brak danych,Brak danych,Frontend Developer – React,Katowice,Nie
Brak danych,Brak danych,Senior SAS Developer,Warszawa,Nie
Brak danych,Brak danych,"Program Stażowy Magenta Start - Frontend Developer (FTTH, 5G)",Warszawa,Nie
Brak danych,Brak danych,Senior PHP Developer/Architect,Nie podano,Tak
Brak danych,Brak danych,.NET Developer,Nie podano,Tak
8000,14000,Programista PHP,Nie podano,Nie
Brak danych,Brak danych,BACKEND  - PHP Developer,Prandocin (pow. krakowski),Nie
Brak danych,Brak danych,Ekspert ds. web analytics,Poznań,Nie
Brak danych,Brak danych,JavaScript Developer,Nie podano,Tak
Brak danych,Brak danych,Senior Penetration Tester,Kraków,Nie
9100,15100,Node.js Developer,Kraków,Tak
Brak danych,Brak danych,Software Engineer,Kraków,Tak
Brak danych,Brak danych,Web front-end developer and process manager,Nie podano,Nie
Brak danych,Brak danych,React Developer,Kraków,Nie
13000,18000,Java Developer,Nie podano,Nie
16500,27000,"Senior Full Stack Developer (React, Node.js)",Nie podano,Tak
11000,18000,Python Developer,Nie podano,Tak
Brak danych,Brak danych,JADE Developer,Kraków,Tak
Brak danych,Brak danych,React Mid Developer (IoT),Kraków,Tak
16000,20000,Programista C# Full Stack,Nie podano,Tak
Brak danych,Brak danych,Network Specialist (ITID Telco),Kraków,Nie
Brak danych,Brak danych,Senior Fullstack Java Developer,Warszawa,Nie
8000,12500,Technical Account Manager (APAC),Nie podano,Tak
Brak danych,Brak danych,Fullstack JavaScript Developer,Łódź,Nie
Brak danych,Brak danych,Web Designer & Web Developer,Warszawa,Nie
10000,16000,React Native Developer,Nie podano,Tak
Brak danych,Brak danych,(CTO) Senior Full Stack Engineer,Kraków,Nie
Brak danych,Brak danych,(CTO) Cloud Security Engineer,Kraków,Nie
Brak danych,Brak danych,Junior Frontend Developer,Nie podano,Nie
8800,13600,Remote Backend WordPress Developer,Nie podano,Tak
Brak danych,Brak danych,Praktyki PHP/ Magento,Nie podano,Tak
Brak danych,Brak danych,Praktyki IT w obszarze biznesowym (E-commerce),Nie podano,Tak
Brak danych,Brak danych,Full Stack Developer,Warszawa,Nie
Brak danych,Brak danych,FullStack Developer (C#/.Net/js/React),Kraków,Tak
Brak danych,Brak danych,Senior SAP Developer - FIORI Full-Stack,Nie podano,Nie
4800,7850,Junior QA Specialist,Nie podano,Tak
4500,10000,Wdrożeniowiec - Programista Systemów BPM,Nie podano,Tak
Brak danych,Brak danych,Angular Developer,Gdańsk,Tak
Brak danych,Brak danych,Junior .NET Developer,Gdańsk,Nie
Brak danych,Brak danych,Technology Consultant,Warszawa,Tak
Brak danych,Brak danych,IAM Security Specialist,Nie podano,Tak
Brak danych,Brak danych,(IT CCM) Solution Architect,Kraków,Nie
Brak danych,Brak danych,C++ Developer,Kraków,Tak
Brak danych,Brak danych,Agile Test Engineer,Kraków,Tak
Brak danych,Brak danych,Programista/ Programistka Full Stack,Nie podano,Nie
25000,31000,Software Development Engineer - Backend developer with Node.js,Nie podano,Tak
Brak danych,Brak danych,Senior JavaScript Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular JavaScript Engineer,Wrocław,Tak
Brak danych,Brak danych,Senior Java Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular Java Engineer,Wrocław,Tak
Brak danych,Brak danych,Junior .NET Developer,Łódź,Nie
