zarobki_min,zarobki_max,nazwa,miasto,zdalnie
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
10000,15000,Product Owner,Katowice,Tak
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie
23000,29000,.Net Technical Lead,Kraków,Tak
26000,33000,Solution Architect (.Net),Kraków,Tak
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie
